trial_id,kind,gt_miou,best_so_far,regret_vs_ceiling,k_y,r_surface_min,hough_oblique_threshold,hough_horizontal_threshold,line_merge_distance,line_snap_tolerance_px,segmentation_slot_inset_y,r_surface_min_ceiling_ref
0,geometric_0,0.1423308467460786,0.1423308467460786,0.7321691532539214,0.0,3.6738,37.0,50.0,3.0,20.0,0.0,3.7349
1,geometric_1,0.18821867834817793,0.18821867834817793,0.6862813216518221,0.0,3.6738,37.0,50.0,3.0,20.0,0.0,3.7349
2,intrinsic_r_otsu,0.23243416520487548,0.23243416520487548,0.6420658347951246,2906.6939197117013,3.5949,75.0,61.0,4.3334,25.8819,6.3717,3.7349
3,random,0.06853398966963636,0.23243416520487548,0.6420658347951246,2346.149404154483,3.7396,61.0,15.0,1.3925,43.6167,11.6552,3.7349
4,random,0.15484558061501755,0.23243416520487548,0.6420658347951246,2925.9020833831987,3.7338,43.0,10.0,10.1305,16.5846,6.69,3.7349
5,random,0.12463268148848039,0.23243416520487548,0.6420658347951246,2370.5272658881677,3.6186,42.0,76.0,1.6518,34.0724,8.0759,3.7349
6,random,0.09838488798359588,0.23243416520487548,0.6420658347951246,3795.972182758702,3.6289,48.0,36.0,5.4275,12.2528,24.1957,3.7349
7,random,0.0706440455981904,0.23243416520487548,0.6420658347951246,3123.708006142475,3.6234,58.0,26.0,3.1171,74.5929,13.8082,3.7349
8,random,0.07959201687159376,0.23243416520487548,0.6420658347951246,4110.864558013585,3.6537,50.0,70.0,4.5438,61.3494,0.6299,3.7349
9,random,0.1911204297667768,0.23243416520487548,0.6420658347951246,141.12886888611908,3.7384,59.0,85.0,4.9096,43.9324,19.1312,3.7349
10,random,0.10411100196062333,0.23243416520487548,0.6420658347951246,702.439593057192,3.6307,16.0,79.0,9.7233,43.4753,18.1462,3.7349
11,random,0.07051329326302593,0.23243416520487548,0.6420658347951246,923.1233381659287,3.7364,86.0,59.0,11.7843,43.6642,13.0292,3.7349
12,perturb_guardrail_smoke,0.13223416107739094,0.23243416520487548,0.6420658347951246,93.0,3.5949,75.0,61.0,4.3334,25.8819,6.3717,3.7349
13,perturb_wrong_r_low,0.23243416520487548,0.23243416520487548,0.6420658347951246,2906.6939197117013,3.6028,75.0,61.0,4.3334,25.8819,6.3717,3.7349
14,perturb_wrong_k,0.09493610824044006,0.23243416520487548,0.6420658347951246,2225.6910543584513,3.5949,75.0,61.0,4.3334,25.8819,6.3717,3.7349
15,perturb_ambiguous_lines,0.23243416520487548,0.23243416520487548,0.6420658347951246,2906.6939197117013,3.5949,75.0,61.0,10.7641,77.8179,6.3717,3.7349
16,perturb_wrong_r_high,0.18653178855994995,0.23243416520487548,0.6420658347951246,2906.6939197117013,3.7448,75.0,61.0,4.3334,25.8819,6.3717,3.7349
17,perturb_wrong_k,0.07228598077780932,0.23243416520487548,0.6420658347951246,3648.003399287696,3.5949,75.0,61.0,4.3334,25.8819,6.3717,3.7349
18,perturb_offset_shift,0.07533354682330436,0.23243416520487548,0.6420658347951246,2906.6939197117013,3.5949,75.0,61.0,4.3334,25.8819,6.3717,3.7349
19,perturb_misaligned,0.14305263801945384,0.23243416520487548,0.6420658347951246,3037.9884925106553,3.5949,75.0,61.0,4.3334,25.8819,6.3717,3.7349
20,perturb_weak_hough,0.23243416520487548,0.23243416520487548,0.6420658347951246,2906.6939197117013,3.5949,85.0,119.0,4.3334,25.8819,6.3717,3.7349
21,perturb_small_segment,0.21195561535113747,0.23243416520487548,0.6420658347951246,2906.6939197117013,3.5949,75.0,61.0,4.3334,25.8819,6.3717,3.7349
22,perturb_guardrail_smoke,0.13223416107739094,0.23243416520487548,0.6420658347951246,93.0,3.5949,75.0,61.0,4.3334,25.8819,6.3717,3.7349
23,perturb_wrong_r_low,0.23243416520487548,0.23243416520487548,0.6420658347951246,2906.6939197117013,3.6028,75.0,61.0,4.3334,25.8819,6.3717,3.7349
24,bo,0.15677761836721832,0.23243416520487548,0.6420658347951246,120.47988856447415,3.6421,83.0,86.0,3.6256,31.3466,6.4759,3.7349
25,bo,0.09041777580176477,0.23243416520487548,0.6420658347951246,2827.86002111679,3.6645,38.0,112.0,1.1765,7.2555,6.4078,3.7349
26,bo,0.16298372541174944,0.23243416520487548,0.6420658347951246,2900.090779782095,3.7329,18.0,64.0,2.9615,66.2075,9.9704,3.7349
27,bo,0.134977488233619,0.23243416520487548,0.6420658347951246,159.8965225585099,3.7081,84.0,91.0,5.5248,53.4951,18.002,3.7349
28,bo,0.26075215661072715,0.26075215661072715,0.6137478433892729,2923.326888015044,3.6959,49.0,115.0,6.6901,22.5248,12.0603,3.7349
29,bo,0.18817007317423273,0.26075215661072715,0.6137478433892729,2964.3219987489138,3.6004,83.0,23.0,10.2867,22.0897,8.1902,3.7349
30,bo,0.07292046328919127,0.26075215661072715,0.6137478433892729,2976.025241869605,3.6986,38.0,111.0,1.2728,38.7086,6.3511,3.7349
31,bo,0.1029872841967563,0.26075215661072715,0.6137478433892729,149.58623247161205,3.6648,27.0,49.0,5.5133,71.6124,0.601,3.7349
