tunnel,category,ring,n,density,k_gt,k_off,k_off_sectors,acc
5-2,complex,147,185636,4246.393279610596,19.312258229168165,0.025179409477871673,0.007480919766092686,0.03285788401242133
5-2,complex,148,82998,1892.9265831526413,9.169966124451513,0.07435157558080974,0.022090199211837473,0.10636333243118462
5-2,complex,149,43113,984.4575864076426,19.351606386823114,9.229028817977506,2.741987422974416,0.14716533276528407
5-3,complex,190,20512,458.7583311662576,15.697489027693416,,,0.0
5-3,complex,191,34259,774.91473049937,6.046018528668822,,,0.5122853872567722
5-3,complex,192,64773,1476.745167559039,3.2987902156027054,,,0.4454130082327922
5-3,complex,193,134690,3076.729826951003,16.957979090321494,,,0.2840195465767879
5-3,complex,194,350520,8023.036878861474,7.172680593973311,,,0.16703606973953555
5-3,complex,195,645007,15245.168970683331,13.150531391853722,,,0.17250649255832873
5-3,complex,196,434780,10132.530406065265,3.239379289718377,,,0.1070565543343766
5-3,complex,197,173364,3945.4654736952943,20.57982377512629,,,0.3805487127469449
5-3,complex,198,78678,1801.2729238510146,18.27262867938998,,,0.3030510859052141
5-3,complex,199,41198,943.2566856734285,4.307295583840317,,,0.31243838056165124
5-4,complex,220,20779,443.80474946757414,9.552331646084095,,,0.17122123430962344
5-4,complex,221,33820,727.5150803563671,3.292539577600052,,,0.28420023464998045
5-4,complex,222,63380,1381.8277919604648,6.008593017822747,,,0.42231026371177416
5-4,complex,223,133067,2935.0429969337124,8.24900064208307,,,0.4355031463169584
5-4,complex,224,344828,7843.609411616809,18.296982143633734,,,0.666805217904042
5-4,complex,225,643270,15382.836060673124,15.593671001270744,,,0.09169102983600844
5-4,complex,226,429760,9514.53938254571,18.281764760604737,,,0.41038159433198085
5-4,complex,227,166891,3585.9557941424014,4.299926958310954,,,0.11222124857706765
