tunnel,condition,model,old_miou,new_miou,rules_miou
4-4,m_s,opus4.6,n/a,FAIL,0.268
4-4,m_s,gpt5.4,n/a,FAIL,0.268
4-4,m_s,gemini3flash,n/a,FAIL,0.268
4-4,m_s_k,opus4.6,0.047,0.227,0.268
4-4,m_s_k,gpt5.4,0.133,FAIL,0.268
4-4,m_s_k,gemini3flash,0.072,0.11,0.268
5-3,m_s,opus4.6,n/a,FAIL,0.231
5-3,m_s,gpt5.4,n/a,FAIL,0.231
5-3,m_s,gemini3flash,n/a,FAIL,0.231
5-3,m_s_k,opus4.6,0.089,FAIL,0.231
5-3,m_s_k,gpt5.4,0.116,FAIL,0.231
5-3,m_s_k,gemini3flash,0.08,0.148,0.231
5-4,m_s,opus4.6,n/a,FAIL,0.142
5-4,m_s,gpt5.4,n/a,FAIL,0.142
5-4,m_s,gemini3flash,n/a,FAIL,0.142
5-4,m_s_k,opus4.6,0.068,0.324,0.142
5-4,m_s_k,gpt5.4,0.098,0.099,0.142
5-4,m_s_k,gemini3flash,0.122,0.118,0.142
