tunnel,model,run2_source,run1_miou,run2_miou,params_identical,pipeline_ran,status
1-1,opus4.6,inference,0.617,,False,,orchestrator_fail
1-1,gpt5.4,inference,0.619,,True,,orchestrator_fail
1-1,gemini3flash,inference,0.584,,True,,orchestrator_fail
1-2,opus4.6,inference,0.608,0.608,True,False,ok_identical
1-2,gpt5.4,inference,0.619,,True,,orchestrator_fail
1-2,gemini3flash,inference,0.62,,True,,orchestrator_fail
1-3,opus4.6,inference,0.658,0.658,True,False,ok_identical
1-3,gpt5.4,inference,0.554,,True,,orchestrator_fail
1-3,gemini3flash,inference,0.565,,True,,orchestrator_fail
1-4,opus4.6,inference,0.436,0.436,True,False,ok_identical
1-4,gpt5.4,inference,0.427,,True,,orchestrator_fail
1-4,gemini3flash,inference,0.209,,True,,orchestrator_fail
1-5,opus4.6,inference,0.629,0.629,True,False,ok_identical
1-5,gpt5.4,inference,0.639,,True,,orchestrator_fail
1-5,gemini3flash,inference,0.668,,True,,orchestrator_fail
2-1,opus4.6,inference,0.674,0.674,True,False,ok_identical
2-1,gpt5.4,inference,0.669,,True,,orchestrator_fail
2-1,gemini3flash,inference,0.671,,True,,orchestrator_fail
2-2,opus4.6,inference,0.685,0.685,True,False,ok_identical
2-2,gpt5.4,inference,0.658,,True,,orchestrator_fail
2-2,gemini3flash,inference,0.682,,True,,orchestrator_fail
2-3,opus4.6,inference,0.606,0.606,True,False,ok_identical
2-3,gpt5.4,inference,0.587,,True,,orchestrator_fail
2-3,gemini3flash,inference,0.607,,True,,orchestrator_fail
2-4,opus4.6,inference,0.624,,False,,orchestrator_fail
2-4,gpt5.4,inference,0.618,,True,,orchestrator_fail
2-4,gemini3flash,inference,0.579,,True,,orchestrator_fail
2-5,opus4.6,inference,0.669,0.669,True,False,ok_identical
2-5,gpt5.4,inference,0.597,,True,,orchestrator_fail
2-5,gemini3flash,inference,0.676,,True,,orchestrator_fail
3-1-1,opus4.6,inference,0.287,,False,,orchestrator_fail
3-1-1,gpt5.4,inference,0.111,,True,,orchestrator_fail
3-1-1,gemini3flash,inference,0.216,,True,,orchestrator_fail
3-1-2,opus4.6,inference,0.237,,False,,orchestrator_fail
3-1-2,gpt5.4,inference,0.255,,True,,orchestrator_fail
3-1-2,gemini3flash,inference,0.199,,True,,orchestrator_fail
3-1-3,opus4.6,inference,0.229,,False,,orchestrator_fail
3-1-3,gpt5.4,inference,0.252,,True,,orchestrator_fail
3-1-3,gemini3flash,inference,0.162,,True,,orchestrator_fail
4-1,opus4.6,inference,0.172,0.093,False,False,ok
4-1,gpt5.4,inference,0.196,,True,,orchestrator_fail
4-1,gemini3flash,inference,0.163,,True,,orchestrator_fail
4-10,opus4.6,inference,0.19,0.144,False,False,ok
4-10,gpt5.4,inference,0.215,,True,,orchestrator_fail
4-10,gemini3flash,inference,0.168,,True,,orchestrator_fail
4-2,opus4.6,inference,0.166,0.271,False,False,ok
4-2,gpt5.4,inference,0.161,,True,,orchestrator_fail
4-2,gemini3flash,inference,0.167,,True,,orchestrator_fail
4-3,opus4.6,inference,0.254,,False,,orchestrator_fail
4-3,gpt5.4,inference,0.277,,True,,orchestrator_fail
4-3,gemini3flash,inference,0.282,,True,,orchestrator_fail
4-5,opus4.6,inference,0.254,0.257,False,False,ok
4-5,gpt5.4,inference,0.24,,True,,orchestrator_fail
4-5,gemini3flash,inference,0.126,,True,,orchestrator_fail
4-6,opus4.6,inference,0.139,0.146,False,False,ok
4-6,gpt5.4,inference,0.173,,True,,orchestrator_fail
4-6,gemini3flash,inference,0.115,,True,,orchestrator_fail
4-7,opus4.6,inference,0.325,,False,,orchestrator_fail
4-7,gpt5.4,inference,0.243,,True,,orchestrator_fail
4-7,gemini3flash,inference,0.311,,True,,orchestrator_fail
4-8,opus4.6,inference,0.115,0.107,False,False,ok
4-8,gpt5.4,inference,0.168,,True,,orchestrator_fail
4-8,gemini3flash,inference,0.236,,True,,orchestrator_fail
4-9,opus4.6,inference,0.07,0.13,False,False,ok
4-9,gpt5.4,inference,0.142,,True,,orchestrator_fail
4-9,gemini3flash,inference,0.128,,True,,orchestrator_fail
5-1,opus4.6,inference,0.15,0.17,False,False,ok
5-1,gpt5.4,inference,0.15,,True,,orchestrator_fail
5-1,gemini3flash,inference,0.171,,True,,orchestrator_fail
5-2,opus4.6,inference,0.109,,False,,orchestrator_fail
5-2,gpt5.4,inference,0.106,,True,,orchestrator_fail
5-2,gemini3flash,inference,0.128,,True,,orchestrator_fail
5-5,opus4.6,inference,0.342,0.246,False,False,ok
5-5,gpt5.4,inference,0.255,,True,,orchestrator_fail
5-5,gemini3flash,inference,0.14,,True,,orchestrator_fail
5-6,opus4.6,inference,0.123,0.068,False,False,ok
5-6,gpt5.4,inference,0.113,,True,,orchestrator_fail
5-6,gemini3flash,inference,0.301,,True,,orchestrator_fail
5-7,opus4.6,inference,0.262,,False,,orchestrator_fail
5-7,gpt5.4,inference,0.231,,True,,orchestrator_fail
5-7,gemini3flash,inference,0.231,,True,,orchestrator_fail
