iteration,status,selected_branch,proxy_plus_miou,proxy_minus_miou,selected_proxy_miou,selected_gt_miou,plus_gt_miou,minus_gt_miou,G_pre,G_layout,G_frame_robustness,G_proxy_gain,J_reflect_v3,J_direction_reflect,J_arm_c_proxy,penalties,branch_flip,proxy_margin,k_confidence_avg,hard_failures_count,param_move_norm,errors,proposal,parameters_used
0,ok,minus,0.2895847015576166,0.37542070418398976,0.37542070418398976,0.6095451047959562,0.1291446488721642,0.6095451047959562,False,True,True,False,0.0,0.950426009192306,0.48947182528706645,0.0,False,0.08583600262637314,0.58,0,0.0,[],"{""mode"": ""baseline"", ""parameter_updates"": {}, ""expected_effect"": ""establish Arm B baseline in Arm C sandbox"", ""risk"": ""none"", ""why_this_is_not_a_small_local_move"": ""baseline anchor run"", ""stop_or_continue"": ""continue""}","{""radius_max"": 4.4, ""target_distance_2"": 0.04, ""outlier_neighbors"": 20.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
1,ok,plus,0.2044344601194838,0.19505319313473177,0.2044344601194838,0.031987395826158824,0.031987395826158824,0.031987395826158824,False,False,False,False,0.0,0.0328344344466321,-0.007542441818380319,0.21591703407145996,True,0.00938126698475203,0.3333333333333333,1,0.19896292589324954,[],"{""mode"": ""explore"", ""parameter_updates"": {""radius_max"": 3.5115644159915465, ""target_distance_2"": 0.05685849112582264, ""outlier_neighbors"": 28.0}, ""expected_effect"": ""increase robust intrinsic proxy while preserving structure"", ""risk"": ""may reduce completeness on sparse regions"", ""why_this_is_not_a_small_local_move"": ""Wide move to escape local basin and test a distinct failure mode."", ""stop_or_continue"": ""continue""}","{""radius_max"": 3.5115644159915465, ""target_distance_2"": 0.05685849112582264, ""outlier_neighbors"": 28.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
2,ok,minus,0.2895847015576166,0.37542070418398976,0.37542070418398976,0.6095451047959562,0.1291446488721642,0.6095451047959562,False,True,True,False,0.0,0.950426009192306,0.4771195927225908,0.012352232564475653,False,0.08583600262637314,0.58,0,0.15440290705594567,[],"{""mode"": ""explore"", ""parameter_updates"": {""radius_max"": 4.296105240770524, ""target_distance_2"": 0.0368279775028407}, ""expected_effect"": ""increase robust intrinsic proxy while preserving structure"", ""risk"": ""may reduce completeness on sparse regions"", ""why_this_is_not_a_small_local_move"": ""Wide move to escape local basin and test a distinct failure mode."", ""stop_or_continue"": ""continue""}","{""radius_max"": 4.296105240770524, ""target_distance_2"": 0.0368279775028407, ""outlier_neighbors"": 28.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
3,ok,minus,0.28956385401881035,0.3753998566451836,0.3753998566451836,0.6095451047959562,0.1291446488721642,0.6095451047959562,False,True,True,False,0.0,0.9504260091923065,0.4809972873523872,0.008453690395873202,False,0.08583600262637325,0.58,0,0.10567112994841502,[],"{""mode"": ""explore"", ""parameter_updates"": {""radius_max"": 4.4, ""target_distance_2"": 0.015}, ""expected_effect"": ""increase robust intrinsic proxy while preserving structure"", ""risk"": ""may reduce completeness on sparse regions"", ""why_this_is_not_a_small_local_move"": ""Wide move to escape local basin and test a distinct failure mode."", ""stop_or_continue"": ""continue""}","{""radius_max"": 4.4, ""target_distance_2"": 0.015, ""outlier_neighbors"": 28.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
