iteration,status,selected_branch,proxy_plus_miou,proxy_minus_miou,selected_proxy_miou,selected_gt_miou,plus_gt_miou,minus_gt_miou,G_pre,G_layout,G_frame_robustness,G_proxy_gain,J_reflect_v3,J_direction_reflect,J_arm_c_proxy,penalties,branch_flip,proxy_margin,k_confidence_avg,hard_failures_count,param_move_norm,errors,proposal,parameters_used
0,ok,plus,0.4498926882401178,0.3675006424741822,0.4498926882401178,0.8111550169384385,0.8111550169384385,0.1733618380774769,True,True,True,True,0.525,0.7383721601807747,0.6934973474618108,0.0,True,0.08239204576593562,0.5125,0,0.0,[],"{""mode"": ""baseline"", ""parameter_updates"": {}, ""expected_effect"": ""establish Arm B baseline in Arm C sandbox"", ""risk"": ""none"", ""why_this_is_not_a_small_local_move"": ""baseline anchor run"", ""stop_or_continue"": ""continue""}","{""radius_max"": 4.4, ""target_distance_2"": 0.04, ""outlier_neighbors"": 20.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
1,ok,plus,0.2166006483164181,0.19365181094369832,0.2166006483164181,0.031445800160173364,0.031445800160173364,0.031445800160173364,False,False,False,True,0.0,0.0803209308045192,0.062124059729746994,0.2141151002832134,True,0.02294883737271977,0.45,1,0.17643875354016725,[],"{""mode"": ""explore"", ""parameter_updates"": {""radius_max"": 3.34940162418466, ""target_distance_2"": 0.06}, ""expected_effect"": ""increase robust intrinsic proxy while preserving structure"", ""risk"": ""may reduce completeness on sparse regions"", ""why_this_is_not_a_small_local_move"": ""Wide move to escape local basin and test a distinct failure mode."", ""stop_or_continue"": ""continue""}","{""radius_max"": 3.34940162418466, ""target_distance_2"": 0.06, ""outlier_neighbors"": 20.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
2,ok,plus,0.44843915170199306,0.36668180905002906,0.44843915170199306,0.8111550169384385,0.8111550169384385,0.1733618380774769,True,True,True,True,0.525,0.736150699281874,0.6807257022756199,0.011051533340198146,True,0.081757342651964,0.5125,0,0.13814416675247682,[],"{""mode"": ""explore"", ""parameter_updates"": {""radius_max"": 4.182131625214382, ""outlier_neighbors"": 31.0}, ""expected_effect"": ""increase robust intrinsic proxy while preserving structure"", ""risk"": ""may reduce completeness on sparse regions"", ""why_this_is_not_a_small_local_move"": ""Wide move to escape local basin and test a distinct failure mode."", ""stop_or_continue"": ""continue""}","{""radius_max"": 4.182131625214382, ""target_distance_2"": 0.06, ""outlier_neighbors"": 31.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
3,ok,plus,0.4498926882401178,0.3675006424741822,0.4498926882401178,0.8111550169384385,0.8111550169384385,0.1733618380774769,True,True,True,True,0.525,0.7383721601807747,0.6843201591255498,0.00917718833626101,True,0.08239204576593562,0.5125,0,0.11471485420326262,[],"{""mode"": ""explore"", ""parameter_updates"": {""radius_max"": 4.4, ""target_distance_2"": 0.03827418983149626}, ""expected_effect"": ""increase robust intrinsic proxy while preserving structure"", ""risk"": ""may reduce completeness on sparse regions"", ""why_this_is_not_a_small_local_move"": ""Wide move to escape local basin and test a distinct failure mode."", ""stop_or_continue"": ""continue""}","{""radius_max"": 4.4, ""target_distance_2"": 0.03827418983149626, ""outlier_neighbors"": 31.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
