trial_id,kind,gt_miou,best_so_far,regret_vs_ceiling,k_y,r_surface_min,hough_oblique_threshold,hough_horizontal_threshold,line_merge_distance,line_snap_tolerance_px,segmentation_slot_inset_y,r_surface_min_ceiling_ref
0,geometric_0,0.17467675875502,0.17467675875502,0.72042324124498,0.0,2.3901,37.0,50.0,3.0,20.0,0.0,2.7274
1,geometric_1,0.23248183306443462,0.23248183306443462,0.6626181669355654,0.0,2.3901,37.0,50.0,3.0,20.0,0.0,2.7274
2,intrinsic_r_otsu,0.30372537059774185,0.30372537059774185,0.5913746294022582,2160.3299325857292,2.4726,77.0,98.0,6.1473,27.7274,6.9606,2.7274
3,random,0.13411640707293507,0.30372537059774185,0.5913746294022582,1538.1837131304264,2.4009,31.0,28.0,7.7379,8.2957,0.892,2.7274
4,random,0.22355157525554142,0.30372537059774185,0.5913746294022582,1611.2080235241992,2.6296,29.0,86.0,3.2067,32.7152,0.0934,2.7274
5,random,0.11658223006166898,0.30372537059774185,0.5913746294022582,533.8174961483361,2.4614,22.0,70.0,6.5855,70.3505,9.0316,2.7274
6,random,0.21332321345372268,0.30372537059774185,0.5913746294022582,204.7736759460605,2.3469,59.0,77.0,8.018,55.7338,3.7697,2.7274
7,random,0.19444828237684314,0.30372537059774185,0.5913746294022582,827.9330520828327,2.6832,81.0,83.0,2.4478,68.3806,23.6237,2.7274
8,random,0.21521992340632576,0.30372537059774185,0.5913746294022582,1968.9493750016622,2.0551,63.0,73.0,5.1392,35.8216,5.9872,2.7274
9,random,0.2563532920705708,0.30372537059774185,0.5913746294022582,3028.2122008256406,2.4074,17.0,24.0,11.6386,54.3321,10.7055,2.7274
10,random,0.2472363014914635,0.30372537059774185,0.5913746294022582,3016.4286247998602,2.6154,83.0,27.0,11.2676,5.3884,18.8244,2.7274
11,random,0.28214544252582047,0.30372537059774185,0.5913746294022582,472.65656213116176,2.2785,69.0,35.0,3.1837,32.2345,4.4852,2.7274
12,perturb_wrong_r_low,0.30372537059774185,0.30372537059774185,0.5913746294022582,2160.3299325857292,2.0637,77.0,98.0,6.1473,27.7274,6.9606,2.7274
13,perturb_wrong_r_high,0.303738657222794,0.303738657222794,0.591361342777206,2160.3299325857292,2.7166,77.0,98.0,6.1473,27.7274,6.9606,2.7274
14,perturb_offset_shift,0.26753647182772994,0.303738657222794,0.591361342777206,2160.3299325857292,2.4726,77.0,98.0,6.1473,27.7274,6.9606,2.7274
15,perturb_misaligned,0.28395575495126274,0.303738657222794,0.591361342777206,2204.927740181786,2.4726,77.0,98.0,6.1473,27.7274,6.9606,2.7274
16,perturb_ambiguous_lines,0.30372537059774185,0.303738657222794,0.591361342777206,2160.3299325857292,2.4726,77.0,98.0,11.8293,77.1061,6.9606,2.7274
17,perturb_small_segment,0.30340213478924466,0.303738657222794,0.591361342777206,2160.3299325857292,2.4726,77.0,98.0,6.1473,27.7274,6.9606,2.7274
18,perturb_guardrail_smoke,0.12400722286631786,0.303738657222794,0.591361342777206,69.12,2.4726,77.0,98.0,6.1473,27.7274,6.9606,2.7274
19,perturb_weak_hough,0.30372537059774185,0.303738657222794,0.591361342777206,2160.3299325857292,2.4726,85.0,112.0,6.1473,27.7274,6.9606,2.7274
20,perturb_wrong_k,0.13900350331385328,0.303738657222794,0.591361342777206,2768.0672730845913,2.4726,77.0,98.0,6.1473,27.7274,6.9606,2.7274
21,perturb_wrong_k,0.2147849897334693,0.303738657222794,0.591361342777206,1656.2149028206063,2.4726,77.0,98.0,6.1473,27.7274,6.9606,2.7274
22,perturb_wrong_r_low,0.30372537059774185,0.303738657222794,0.591361342777206,2160.3299325857292,2.0637,77.0,98.0,6.1473,27.7274,6.9606,2.7274
23,perturb_wrong_r_high,0.303738657222794,0.303738657222794,0.591361342777206,2160.3299325857292,2.7166,77.0,98.0,6.1473,27.7274,6.9606,2.7274
24,bo,0.19572773238172445,0.303738657222794,0.591361342777206,2031.3185036640104,2.4709,30.0,77.0,6.0962,47.9055,11.6792,2.7274
25,bo,0.23091309063533827,0.303738657222794,0.591361342777206,2058.9835381295898,2.6059,69.0,91.0,1.4898,17.4664,19.5455,2.7274
26,bo,0.11931807571442123,0.303738657222794,0.591361342777206,1967.654876568755,2.3017,32.0,106.0,7.4934,9.422,15.6091,2.7274
27,bo,0.2790024777565926,0.303738657222794,0.591361342777206,2231.869889868532,2.4015,24.0,48.0,7.5283,55.9799,18.2679,2.7274
28,bo,0.17831176492643727,0.303738657222794,0.591361342777206,2186.320354577609,2.6313,68.0,39.0,10.5281,27.8035,7.5344,2.7274
29,bo,0.15519739190173507,0.303738657222794,0.591361342777206,2352.520971087645,2.5592,34.0,104.0,5.9334,16.7406,3.0386,2.7274
30,bo,0.3057923099952432,0.3057923099952432,0.5893076900047568,1774.3316948570778,2.2171,69.0,74.0,11.0979,76.1409,10.3573,2.7274
31,bo,0.14743536827858916,0.3057923099952432,0.5893076900047568,1750.9438494659053,2.2212,18.0,92.0,10.3042,44.2783,11.1638,2.7274
32,bo,0.10833883559249621,0.3057923099952432,0.5893076900047568,2395.5803673018295,2.4418,59.0,60.0,11.6402,79.5735,7.6818,2.7274
33,bo,0.13444341700569992,0.3057923099952432,0.5893076900047568,1934.5054767580837,2.1175,55.0,108.0,6.9556,24.9186,0.4636,2.7274
34,bo,0.16492820832142954,0.3057923099952432,0.5893076900047568,2110.234143691151,2.1684,51.0,31.0,5.8505,26.3762,23.0423,2.7274
35,bo,0.27230655350889466,0.3057923099952432,0.5893076900047568,1.2190087197174364,2.4707,56.0,12.0,4.9247,33.3487,7.6675,2.7274
36,bo,0.15434665304940456,0.3057923099952432,0.5893076900047568,1659.0049476616184,2.4345,60.0,54.0,10.1172,77.2262,1.3667,2.7274
37,bo,0.09955578782336034,0.3057923099952432,0.5893076900047568,1515.6962718786367,2.6882,77.0,20.0,6.2558,76.037,15.3658,2.7274
38,bo,0.2193884770849255,0.3057923099952432,0.5893076900047568,1844.5472428849205,2.513,68.0,18.0,7.1631,27.8366,4.8792,2.7274
39,bo,0.30123439492559667,0.3057923099952432,0.5893076900047568,1831.3534527343647,2.7362,80.0,44.0,9.7858,75.75,11.8498,2.7274
40,bo,0.15393775884038105,0.3057923099952432,0.5893076900047568,1964.5078106250278,2.1609,46.0,27.0,10.0529,66.5687,8.8124,2.7274
41,bo,0.11711975730693504,0.3057923099952432,0.5893076900047568,145.97813072795236,2.689,85.0,25.0,4.3941,32.209,4.3933,2.7274
42,bo,0.18903993194892,0.3057923099952432,0.5893076900047568,2023.7456376080581,2.1861,20.0,44.0,6.5353,17.1336,8.8383,2.7274
43,bo,0.2947374070069023,0.3057923099952432,0.5893076900047568,264.08734558154356,2.7158,55.0,33.0,6.6211,29.9623,3.8109,2.7274
44,bo,0.182369612067209,0.3057923099952432,0.5893076900047568,556.3259888087498,2.3832,52.0,89.0,2.6651,35.5569,5.3081,2.7274
45,bo,0.2580196061275518,0.3057923099952432,0.5893076900047568,2095.6252542479388,2.1723,69.0,48.0,6.2361,28.3342,7.583,2.7274
46,bo,0.19023727013574485,0.3057923099952432,0.5893076900047568,743.2320241840227,2.4031,42.0,99.0,4.8579,28.6812,3.1984,2.7274
47,bo,0.17602041224079892,0.3057923099952432,0.5893076900047568,1654.6432615292877,2.5072,20.0,85.0,1.5494,26.9978,9.3708,2.7274
48,bo,0.21182656242866366,0.3057923099952432,0.5893076900047568,264.06149887969315,2.5762,80.0,63.0,6.2468,32.7383,2.6626,2.7274
49,bo,0.15953770915573268,0.3057923099952432,0.5893076900047568,421.6120627129307,2.0417,26.0,100.0,4.2638,30.0779,3.841,2.7274
50,bo,0.2920838842511225,0.3057923099952432,0.5893076900047568,1918.8770065561928,2.6691,57.0,22.0,9.8633,40.8543,11.9497,2.7274
51,bo,0.2090227050267095,0.3057923099952432,0.5893076900047568,2561.6473211300827,2.4068,60.0,97.0,9.9269,77.0456,7.3672,2.7274
52,bo,0.24574462583739337,0.3057923099952432,0.5893076900047568,2034.4146788693006,2.2805,41.0,35.0,7.1622,76.2128,13.44,2.7274
53,bo,0.19319865620428847,0.3057923099952432,0.5893076900047568,29.662314519022743,2.067,38.0,66.0,8.2305,30.2423,6.3007,2.7274
54,bo,0.19557800039169396,0.3057923099952432,0.5893076900047568,2218.919146621034,2.636,50.0,47.0,11.8678,75.064,6.8272,2.7274
55,bo,0.12345955029409703,0.3057923099952432,0.5893076900047568,2262.9424996457683,2.2133,56.0,118.0,6.6196,26.9617,3.8349,2.7274
56,bo,0.1816826538761798,0.3057923099952432,0.5893076900047568,1935.710376215557,2.4543,63.0,83.0,7.7612,75.9631,14.2797,2.7274
57,bo,0.13661196466782446,0.3057923099952432,0.5893076900047568,531.8360291009544,2.094,45.0,41.0,4.2777,33.3086,17.8027,2.7274
58,bo,0.3772668690510548,0.3772668690510548,0.5178331309489452,2113.83468833283,2.0289,65.0,104.0,9.3983,64.5222,6.9214,2.7274
59,bo,0.15214465391007695,0.3772668690510548,0.5178331309489452,2218.6370749736675,2.6216,27.0,52.0,8.4906,64.465,24.3703,2.7274
