iteration,status,selected_branch,proxy_plus_miou,proxy_minus_miou,selected_proxy_miou,selected_gt_miou,plus_gt_miou,minus_gt_miou,G_pre,G_layout,G_frame_robustness,G_proxy_gain,J_reflect_v3,J_direction_reflect,J_arm_c_proxy,penalties,branch_flip,proxy_margin,k_confidence_avg,hard_failures_count,param_move_norm,errors,proposal,parameters_used
0,ok,minus,0.33407123989582355,0.353157125674014,0.353157125674014,0.11473895062278117,0.6316932803541733,0.11473895062278117,True,True,True,True,0.05,0.7168006002236667,0.49917319770085405,0.0,False,0.01908588577819048,0.58,0,0.0,[],"{""mode"": ""baseline"", ""parameter_updates"": {}, ""expected_effect"": ""establish Arm B baseline in Arm C sandbox"", ""risk"": ""none"", ""why_this_is_not_a_small_local_move"": ""baseline anchor run"", ""stop_or_continue"": ""continue""}","{""radius_max"": 4.4, ""target_distance_2"": 0.04, ""outlier_neighbors"": 20.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
1,ok,plus,0.2029314342469001,0.1972684861138437,0.2029314342469001,0.029948689875296912,0.029948689875296912,0.029948689875296912,False,False,False,True,0.0,0.0198203184656974,0.043904590304091495,0.2114052821586923,True,0.0056629481330564,0.47500000000000003,1,0.14256602698365373,[],"{""mode"": ""explore"", ""parameter_updates"": {""radius_max"": 3.4470527704591976, ""target_distance_2"": 0.05420959551743204}, ""expected_effect"": ""increase robust intrinsic proxy while preserving structure"", ""risk"": ""may reduce completeness on sparse regions"", ""why_this_is_not_a_small_local_move"": ""Wide move to escape local basin and test a distinct failure mode."", ""stop_or_continue"": ""continue""}","{""radius_max"": 3.4470527704591976, ""target_distance_2"": 0.05420959551743204, ""outlier_neighbors"": 20.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
2,failed,minus,,,,,,,False,False,False,False,0.0,0.0,-1000000000.0,1.0,False,0.0,0.0,99,0.13240214892548705,"[""preprocessing: non-zero exit code 1; tail:\n^^^^^^^^^\n  File \""/home/boringtao/Projects/Intrinsic/venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py\"", line 3302, in min\n    return _wrapreduction(a, np.minimum, 'min', axis, None, out,\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File \""/home/boringtao/Projects/Intrinsic/venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py\"", line 86, in _wrapreduction\n    return ufunc.reduce(obj, axis, dtype, out, **passkwargs)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\nValueError: zero-size array to reduction operation minimum which has no identity\n"", ""preprocessing: non-zero exit code 1; tail:\n^^^^^^^^^\n  File \""/home/boringtao/Projects/Intrinsic/venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py\"", line 3302, in min\n    return _wrapreduction(a, np.minimum, 'min', axis, None, out,\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File \""/home/boringtao/Projects/Intrinsic/venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py\"", line 86, in _wrapreduction\n    return ufunc.reduce(obj, axis, dtype, out, **passkwargs)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\nValueError: zero-size array to reduction operation minimum which has no identity\n"", ""preprocessing: non-zero exit code 1; tail:\n^^^^^^^^^\n  File \""/home/boringtao/Projects/Intrinsic/venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py\"", line 3302, in min\n    return _wrapreduction(a, np.minimum, 'min', axis, None, out,\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File \""/home/boringtao/Projects/Intrinsic/venv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py\"", line 86, in _wrapreduction\n    return ufunc.reduce(obj, axis, dtype, out, **passkwargs)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\nValueError: zero-size array to reduction operation minimum which has no identity\n""]","{""mode"": ""explore"", ""parameter_updates"": {""radius_max"": 2.542048555756977, ""target_distance_2"": 0.06, ""outlier_neighbors"": 25.0}, ""expected_effect"": ""increase robust intrinsic proxy while preserving structure"", ""risk"": ""may reduce completeness on sparse regions"", ""why_this_is_not_a_small_local_move"": ""Wide move to escape local basin and test a distinct failure mode."", ""stop_or_continue"": ""continue""}","{""radius_max"": 2.542048555756977, ""target_distance_2"": 0.06, ""outlier_neighbors"": 25.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
3,ok,plus,0.1934175981894531,0.1916856914374555,0.1934175981894531,0.030384779542755345,0.030384779542755345,0.030384779542755345,False,False,False,True,0.0,0.006061673631991532,0.03651278295341534,0.20763221607187674,True,0.0017319067519975806,0.3333333333333333,1,0.09540270089845913,[],"{""mode"": ""explore"", ""parameter_updates"": {""radius_max"": 3.311880966538487, ""outlier_neighbors"": 20.0}, ""expected_effect"": ""increase robust intrinsic proxy while preserving structure"", ""risk"": ""may reduce completeness on sparse regions"", ""why_this_is_not_a_small_local_move"": ""Wide move to escape local basin and test a distinct failure mode."", ""stop_or_continue"": ""continue""}","{""radius_max"": 3.311880966538487, ""target_distance_2"": 0.06, ""outlier_neighbors"": 20.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
