iteration,status,selected_branch,proxy_plus_miou,proxy_minus_miou,selected_proxy_miou,selected_gt_miou,plus_gt_miou,minus_gt_miou,G_pre,G_layout,G_frame_robustness,G_proxy_gain,J_reflect_v3,J_direction_reflect,J_arm_c_proxy,penalties,branch_flip,proxy_margin,k_confidence_avg,hard_failures_count,param_move_norm,errors,proposal,parameters_used
0,ok,plus,0.4121778099307554,0.3468502977983894,0.4121778099307554,0.5648619539913342,0.5648619539913342,0.1261866405400686,True,True,True,True,1.0,0.6786462924632811,0.7436153650263492,0.0,True,0.06532751213236604,0.58,0,0.0,[],"{""mode"": ""baseline"", ""parameter_updates"": {}, ""expected_effect"": ""establish Arm B baseline in Arm C sandbox"", ""risk"": ""none"", ""why_this_is_not_a_small_local_move"": ""baseline anchor run"", ""stop_or_continue"": ""continue""}","{""radius_max"": 4.4, ""target_distance_2"": 0.04, ""outlier_neighbors"": 20.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
1,ok,plus,0.4121778099307554,0.3468502977983894,0.4121778099307554,0.5648619539913342,0.5648619539913342,0.1261866405400686,True,True,True,True,1.0,0.6786462924632811,0.7375736973151678,0.0060416677111814485,True,0.06532751213236604,0.58,0,0.07552084638976811,[],"{""mode"": ""explore"", ""parameter_updates"": {""target_distance_2"": 0.023007809562302178}, ""expected_effect"": ""increase robust intrinsic proxy while preserving structure"", ""risk"": ""may reduce completeness on sparse regions"", ""why_this_is_not_a_small_local_move"": ""Wide move to escape local basin and test a distinct failure mode."", ""stop_or_continue"": ""continue""}","{""radius_max"": 4.4, ""target_distance_2"": 0.023007809562302178, ""outlier_neighbors"": 20.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
2,ok,plus,0.4159399625085345,0.349422212047409,0.4159399625085345,0.5648619539913342,0.5648619539913342,0.1261866405400686,True,True,True,True,1.0,0.6828121266139393,0.7450301965244998,0.0028472211777074413,True,0.06651775046112551,0.58,0,0.035590264721343016,[],"{""mode"": ""explore"", ""parameter_updates"": {""target_distance_2"": 0.015}, ""expected_effect"": ""increase robust intrinsic proxy while preserving structure"", ""risk"": ""may reduce completeness on sparse regions"", ""why_this_is_not_a_small_local_move"": ""Wide move to escape local basin and test a distinct failure mode."", ""stop_or_continue"": ""continue""}","{""radius_max"": 4.4, ""target_distance_2"": 0.015, ""outlier_neighbors"": 20.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
3,ok,plus,0.20183768365606922,0.18462200671173556,0.20183768365606922,0.03472481706367741,0.03472481706367741,0.03472481706367741,False,False,False,True,0.0,0.060254869305167776,0.04849285044917592,0.21057541752351341,True,0.017215676944333652,0.47500000000000003,1,0.13219271904391752,[],"{""mode"": ""explore"", ""parameter_updates"": {""radius_max"": 3.4313919852912305, ""target_distance_2"": 0.026581961509092006}, ""expected_effect"": ""increase robust intrinsic proxy while preserving structure"", ""risk"": ""may reduce completeness on sparse regions"", ""why_this_is_not_a_small_local_move"": ""Wide move to escape local basin and test a distinct failure mode."", ""stop_or_continue"": ""continue""}","{""radius_max"": 3.4313919852912305, ""target_distance_2"": 0.026581961509092006, ""outlier_neighbors"": 20.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
