trial_id,tunnel_id,ring_id,case_id,kind,k_y,per_ring_offsets,r_surface_min_ceiling_ref,gt_miou,best_so_far,regret_vs_ceiling,search_x,hough_threshold,hough_oblique_threshold,hough_horizontal_threshold,merge_distance_threshold,line_merge_distance,single_ring_visual_slot_snap_px,line_snap_tolerance_px,slot_inset_y,segmentation_slot_inset_y,agent_error,n_reclassified_by_r_filter,r_surface_min,r_surface_min_frac,r_surface_min_otsu_ref,k_y_frac,arc_width_entropy,order_branch,branch_is_minus,direction_score_plus,direction_score_minus,direction_margin,direction_select_enabled,det_k_count_match,det_k_confidence_avg,det_block_count_per_ring,det_y_coverage_pct,det_min_y_gap_px,det_y_order_consistency,det_ready_for_segmentation,det_guardrail_violations,bo_surrogate_mean,bo_surrogate_std,ei_value
10,1-5,271,1-5/r271,random,3016.42862479986,"{""0"": {""K"": 0.0, ""B1"": 2040.0456347932538, ""A1"": 2362.8131942614627, ""A2"": 1228.3100133932578, ""A3"": 1794.0043693301418, ""B2"": 2644.694956610574}}",2.7274,0.2472363014914635,0.3037253705977418,0.5913746294022582,"[0.8728092085647744, 0.3442106669960262, 0.5902909822897147, 0.6836843733395437, 0.35541377702351207, 0.5190984864959901, 0.7652473832785226, 0.9091793139905502, 0.1510622780768155, 0.9334193923074285, 0.005178865815432143, 0.752977503597754, 0.8105268303172452]",83.0,83.0,27.0,11.2676,11.2676,5.3884,5.3884,18.8244,18.8244,False,0,2.6154,0.810517,2.4726,0.8728092085647744,1.5838372349525842,plus,False,-1.318587833320925,-1.786393105228956,0.4678052719080305,True,True,1.0,False,100.0,246.0999999999999,0.0,False,"[""block_count_per_ring != 7 (missing or extra blocks)""]",,,
11,1-5,271,1-5/r271,random,472.65656213116176,"{""0"": {""K"": 0.0, ""B1"": 2817.5256967508776, ""A1"": 49.32123155001426, ""A2"": 2171.964491825901, ""A3"": 2740.689762386806, ""B2"": 1772.9403822335526}}",2.7274,0.2821454425258204,0.3037253705977418,0.5913746294022582,"[0.13676405154258153, 0.41890365091318515, 0.8152562779950456, 0.014271189684610608, 0.6284619478662907, 0.7930236580980341, 0.5130035828222085, 0.7258494205510871, 0.22642348269714407, 0.19852114799267284, 0.3631269505503516, 0.17940602756714652, 0.34606143911247844]",69.0,69.0,35.0,3.1837,3.1837,32.2345,32.2345,4.4852,4.4852,False,0,2.2785,0.346089,2.4726,0.1367640515425815,1.655634448192509,plus,False,1.3537114023698984,1.4976668990926396,0.1439554967227412,True,True,1.0,False,100.0,49.30000000000001,0.0,False,"[""block_count_per_ring != 7 (missing or extra blocks)""]",,,
12,1-5,271,1-5/r271,perturb_wrong_r_low,2160.329932585729,"{""0"": {""K"": 0.0, ""B1"": 2680.7697454873887, ""A1"": 778.3160486074855, ""A2"": 1037.3746806531951, ""A3"": 3019.000707289481, ""B2"": 18.196892578626247}}",2.7274,0.3037253705977418,0.3037253705977418,0.5913746294022582,"[0.625095466604667, 0.0, 0.7756856902451935, 0.22520718999059186, 0.30016628491122543, 0.8735534453962619, 0.005265304565574724, 0.8212284183827663, 0.7970694287520462, 0.4679349528437208, 0.3030324268193135, 0.2784256121007733, 0.05]",77.0,77.0,98.0,6.1473,6.1473,27.7274,27.7274,6.9606,6.9606,False,0,2.0637,0.049979,2.4726,0.625095466604667,1.5458869746539976,plus,False,1.69348335549244,1.423753365951796,0.269729989540644,True,True,1.0,False,100.0,18.199999999999815,0.0,False,"[""block_count_per_ring != 7 (missing or extra blocks)""]",,,
13,1-5,271,1-5/r271,perturb_wrong_r_high,2160.329932585729,"{""0"": {""K"": 0.0, ""B1"": 2680.7697454873887, ""A1"": 778.3160486074855, ""A2"": 1037.3746806531951, ""A3"": 3019.000707289481, ""B2"": 18.196892578626247}}",2.7274,0.303738657222794,0.303738657222794,0.591361342777206,"[0.625095466604667, 0.0, 0.7756856902451935, 0.22520718999059186, 0.30016628491122543, 0.8735534453962619, 0.005265304565574724, 0.8212284183827663, 0.7970694287520462, 0.4679349528437208, 0.3030324268193135, 0.2784256121007733, 0.95]",77.0,77.0,98.0,6.1473,6.1473,27.7274,27.7274,6.9606,6.9606,False,0,2.7166,0.950025,2.4726,0.625095466604667,1.5458869746539976,plus,False,1.69348335549244,1.423753365951796,0.269729989540644,True,True,1.0,False,100.0,18.199999999999815,0.0,False,"[""block_count_per_ring != 7 (missing or extra blocks)""]",,,
14,1-5,271,1-5/r271,perturb_offset_shift,2160.329932585729,"{""0"": {""K"": 0.0, ""B1"": 2548.1158033289303, ""A1"": 588.8094292616844, ""A2"": 1412.3143158256423, ""A3"": 2972.9487134991828, ""B2"": 416.6555147490224}}",2.7274,0.2675364718277299,0.303738657222794,0.591361342777206,"[0.625095466604667, 0.0, 0.7373020264261951, 0.17037309874470033, 0.40865576268103077, 0.860228215711569, 0.1205600447769162, 0.8212284183827663, 0.7970694287520462, 0.4679349528437208, 0.3030324268193135, 0.2784256121007733, 0.6136494916977373]",77.0,77.0,98.0,6.1473,6.1473,27.7274,27.7274,6.9606,6.9606,False,0,2.4726,0.613663,2.4726,0.625095466604667,1.6823550711991344,minus,True,0.8646285411500936,1.1347240750165948,0.2700955338665012,True,True,1.0,False,100.0,172.0999999999999,0.0,False,"[""block_count_per_ring != 7 (missing or extra blocks)""]",,,
15,1-5,271,1-5/r271,perturb_misaligned,2204.927740181786,"{""0"": {""K"": 0.0, ""B1"": 2650.349827718362, ""A1"": 935.1581176654347, ""A2"": 1000.73257194258, ""A3"": 3194.327558718068, ""B2"": 0.0}}",2.7274,0.2839557549512627,0.303738657222794,0.591361342777206,"[0.6379999248211186, 0.0, 0.7668836307055446, 0.2705897331207855, 0.28956382290005206, 0.9242845945364779, 0.0, 0.8212284183827663, 0.7970694287520462, 0.4679349528437208, 0.3030324268193135, 0.2784256121007733, 0.6136494916977373]",77.0,77.0,98.0,6.1473,6.1473,27.7274,27.7274,6.9606,6.9606,False,0,2.4726,0.613663,2.4726,0.6379999248211186,1.2472095291687142,minus,True,-1.3601362302235869,-1.041122579053546,0.3190136511700407,True,True,1.0,False,100.0,0.0,0.0,False,"[""block_count_per_ring != 7 (missing or extra blocks)""]",,,
16,1-5,271,1-5/r271,perturb_ambiguous_lines,2160.329932585729,"{""0"": {""K"": 0.0, ""B1"": 2680.7697454873887, ""A1"": 778.3160486074855, ""A2"": 1037.3746806531951, ""A3"": 3019.000707289481, ""B2"": 18.196892578626247}}",2.7274,0.3037253705977418,0.303738657222794,0.591361342777206,"[0.625095466604667, 0.0, 0.7756856902451935, 0.22520718999059186, 0.30016628491122543, 0.8735534453962619, 0.005265304565574724, 0.8212284183827663, 0.7970694287520462, 0.9844810785574001, 0.9614151127322559, 0.2784256121007733, 0.6136494916977373]",77.0,77.0,98.0,11.8293,11.8293,77.1061,77.1061,6.9606,6.9606,False,0,2.4726,0.613663,2.4726,0.625095466604667,1.5458869746539976,plus,False,1.69348335549244,1.423753365951796,0.269729989540644,True,True,1.0,False,100.0,18.199999999999815,0.0,False,"[""block_count_per_ring != 7 (missing or extra blocks)""]",,,
17,1-5,271,1-5/r271,perturb_small_segment,2160.329932585729,"{""0"": {""K"": 0.0, ""B1"": 241.92000000000002, ""A1"": 864.0, ""A2"": 1486.08, ""A3"": 2108.16, ""B2"": 2730.2400000000002}}",2.7274,0.3034021347892446,0.303738657222794,0.591361342777206,"[0.625095466604667, 0.0, 0.07, 0.25, 0.43, 0.61, 0.79, 0.8212284183827663, 0.7970694287520462, 0.4679349528437208, 0.3030324268193135, 0.2784256121007733, 0.6136494916977373]",77.0,77.0,98.0,6.1473,6.1473,27.7274,27.7274,6.9606,6.9606,False,0,2.4726,0.613663,2.4726,0.625095466604667,1.748539097947062,plus,False,3.741899941207687,3.5158197361431043,0.2260802050645822,True,True,1.0,False,100.0,241.89999999999964,0.0,False,"[""block_count_per_ring != 7 (missing or extra blocks)""]",,,
18,1-5,271,1-5/r271,perturb_guardrail_smoke,69.12,"{""0"": {""K"": 0.0, ""B1"": 1748.2329652493643, ""A1"": 2195.532721179262, ""A2"": 1469.8360189420212, ""A3"": 2045.3013878813542, ""B2"": 1910.9653401585417}}",2.7274,0.1240072228663178,0.303738657222794,0.591361342777206,"[0.02, 0.0, 0.5058544459633577, 0.635281458674555, 0.4252997739994274, 0.5918117441786326, 0.552941359999578, 0.8212284183827663, 0.7970694287520462, 0.4679349528437208, 0.3030324268193135, 0.2784256121007733, 0.6136494916977373]",77.0,77.0,98.0,6.1473,6.1473,27.7274,27.7274,6.9606,6.9606,False,0,2.4726,0.613663,2.4726,0.02,1.595979459695477,plus,False,-1.586905696252558,-1.5699450648382625,0.0169606314142956,True,True,1.0,False,100.0,134.30000000000018,0.0,False,"[""block_count_per_ring != 7 (missing or extra blocks)""]",,,
19,1-5,271,1-5/r271,perturb_weak_hough,2160.329932585729,"{""0"": {""K"": 0.0, ""B1"": 2680.7697454873887, ""A1"": 778.3160486074855, ""A2"": 1037.3746806531951, ""A3"": 3019.000707289481, ""B2"": 18.196892578626247}}",2.7274,0.3037253705977418,0.303738657222794,0.591361342777206,"[0.625095466604667, 0.0, 0.7756856902451935, 0.22520718999059186, 0.30016628491122543, 0.8735534453962619, 0.005265304565574724, 0.9273284003659407, 0.9281749193539336, 0.4679349528437208, 0.3030324268193135, 0.2784256121007733, 0.6136494916977373]",85.0,85.0,112.0,6.1473,6.1473,27.7274,27.7274,6.9606,6.9606,False,0,2.4726,0.613663,2.4726,0.625095466604667,1.5458869746539976,plus,False,1.69348335549244,1.423753365951796,0.269729989540644,True,True,1.0,False,100.0,18.199999999999815,0.0,False,"[""block_count_per_ring != 7 (missing or extra blocks)""]",,,
