trial_id,kind,gt_miou,best_so_far,regret_vs_ceiling,k_y,r_surface_min,hough_oblique_threshold,hough_horizontal_threshold,line_merge_distance,line_snap_tolerance_px,segmentation_slot_inset_y,r_surface_min_ceiling_ref
0,sam4tun_static,0.17660364109138302,0.17660364109138302,0.718496358908617,1728.0,2.0274,37.0,37.0,12.0,37.0,0.0,2.7274
1,intrinsic_r_otsu,0.30372537059774185,0.30372537059774185,0.5913746294022582,2160.3299325857292,2.4726,77.0,98.0,6.1473,27.7274,6.9606,2.7274
2,random,0.13411640707293507,0.30372537059774185,0.5913746294022582,1538.1837131304264,2.4009,31.0,28.0,7.7379,8.2957,0.892,2.7274
3,random,0.22355157525554142,0.30372537059774185,0.5913746294022582,1611.2080235241992,2.6296,29.0,86.0,3.2067,32.7152,0.0934,2.7274
4,random,0.11658223006166898,0.30372537059774185,0.5913746294022582,533.8174961483361,2.4614,22.0,70.0,6.5855,70.3505,9.0316,2.7274
5,random,0.21332321345372268,0.30372537059774185,0.5913746294022582,204.7736759460605,2.3469,59.0,77.0,8.018,55.7338,3.7697,2.7274
6,random,0.19444828237684314,0.30372537059774185,0.5913746294022582,827.9330520828327,2.6832,81.0,83.0,2.4478,68.3806,23.6237,2.7274
7,random,0.21521992340632576,0.30372537059774185,0.5913746294022582,1968.9493750016622,2.0551,63.0,73.0,5.1392,35.8216,5.9872,2.7274
8,random,0.2563532920705708,0.30372537059774185,0.5913746294022582,3028.2122008256406,2.4074,17.0,24.0,11.6386,54.3321,10.7055,2.7274
9,random,0.2472363014914635,0.30372537059774185,0.5913746294022582,3016.4286247998602,2.6154,83.0,27.0,11.2676,5.3884,18.8244,2.7274
10,random,0.28214544252582047,0.30372537059774185,0.5913746294022582,472.65656213116176,2.2785,69.0,35.0,3.1837,32.2345,4.4852,2.7274
11,random,0.12345336881699871,0.30372537059774185,0.5913746294022582,3276.716756235776,2.3369,54.0,67.0,10.8619,60.7076,14.5163,2.7274
12,perturb_guardrail_smoke,0.21189067751613702,0.30372537059774185,0.5913746294022582,69.12,2.4726,77.0,98.0,6.1473,27.7274,6.9606,2.7274
13,perturb_wrong_r_low,0.30372537059774185,0.30372537059774185,0.5913746294022582,2160.3299325857292,2.0637,77.0,98.0,6.1473,27.7274,6.9606,2.7274
14,perturb_wrong_k,0.21377211093697776,0.30372537059774185,0.5913746294022582,1700.9180050594725,2.4726,77.0,98.0,6.1473,27.7274,6.9606,2.7274
15,perturb_ambiguous_lines,0.30372537059774185,0.30372537059774185,0.5913746294022582,2160.3299325857292,2.4726,77.0,98.0,11.4662,76.8172,6.9606,2.7274
16,perturb_small_segment,0.30340213478924466,0.30372537059774185,0.5913746294022582,2160.3299325857292,2.4726,77.0,98.0,6.1473,27.7274,6.9606,2.7274
17,perturb_wrong_k,0.14417027196416818,0.30372537059774185,0.5913746294022582,2748.731311957695,2.4726,77.0,98.0,6.1473,27.7274,6.9606,2.7274
18,perturb_offset_shift,0.1969685919182745,0.30372537059774185,0.5913746294022582,2160.3299325857292,2.4726,77.0,98.0,6.1473,27.7274,6.9606,2.7274
19,perturb_wrong_r_high,0.303738657222794,0.303738657222794,0.591361342777206,2160.3299325857292,2.7166,77.0,98.0,6.1473,27.7274,6.9606,2.7274
20,perturb_weak_hough,0.30372537059774185,0.303738657222794,0.591361342777206,2160.3299325857292,2.4726,82.0,117.0,6.1473,27.7274,6.9606,2.7274
21,perturb_misaligned,0.16706602209743274,0.303738657222794,0.591361342777206,2232.005814809048,2.4726,77.0,98.0,6.1473,27.7274,6.9606,2.7274
22,perturb_guardrail_smoke,0.21189067751613702,0.303738657222794,0.591361342777206,69.12,2.4726,77.0,98.0,6.1473,27.7274,6.9606,2.7274
23,perturb_wrong_r_low,0.30372537059774185,0.303738657222794,0.591361342777206,2160.3299325857292,2.0637,77.0,98.0,6.1473,27.7274,6.9606,2.7274
24,bo,0.1075812653863845,0.303738657222794,0.591361342777206,369.9561014510707,2.393,67.0,24.0,6.7769,56.702,8.3871,2.7274
25,bo,0.11148089938837666,0.303738657222794,0.591361342777206,2478.2554230879177,2.4696,68.0,93.0,6.6108,71.5743,12.9516,2.7274
26,bo,0.14213110033037915,0.303738657222794,0.591361342777206,679.8222307451905,2.3124,42.0,28.0,3.9746,34.059,10.0543,2.7274
27,bo,0.18022119330515785,0.303738657222794,0.591361342777206,1526.3878801366282,2.5235,41.0,96.0,6.0169,24.9658,6.0387,2.7274
28,bo,0.143720564571405,0.303738657222794,0.591361342777206,1422.6822875974904,2.5113,78.0,98.0,9.4189,29.7447,17.4297,2.7274
29,bo,0.21676284275462374,0.303738657222794,0.591361342777206,1503.2160650566677,2.6526,49.0,97.0,5.307,5.4086,18.3483,2.7274
30,bo,0.1637799756543423,0.303738657222794,0.591361342777206,1075.4274158220348,2.2282,54.0,36.0,3.0872,20.1987,9.5143,2.7274
31,bo,0.13388331237262435,0.303738657222794,0.591361342777206,703.7479092542414,2.4643,73.0,103.0,7.045,16.7477,22.4999,2.7274
32,bo,0.14693884128373627,0.303738657222794,0.591361342777206,1570.2486378739438,2.6632,77.0,109.0,5.2438,28.4876,6.242,2.7274
