trial_id,kind,gt_miou,best_so_far,regret_vs_ceiling,k_y,r_surface_min,hough_oblique_threshold,hough_horizontal_threshold,line_merge_distance,line_snap_tolerance_px,segmentation_slot_inset_y,r_surface_min_ceiling_ref
0,geometric_0,0.09855346649031459,0.09855346649031459,0.7842465335096854,0.0,2.3947,37.0,50.0,3.0,20.0,0.0,2.7353
1,geometric_1,0.09855346649031459,0.09855346649031459,0.7842465335096854,0.0,2.3947,37.0,50.0,3.0,20.0,0.0,2.7353
2,intrinsic_r_otsu,0.10267161050590758,0.10267161050590758,0.7801283894940925,2160.3299325857292,2.449,77.0,98.0,6.1473,27.7274,6.9606,2.7353
3,random,0.23304467874569765,0.23304467874569765,0.6497553212543024,1538.1837131304264,2.4054,31.0,28.0,7.7379,8.2957,0.892,2.7353
4,random,0.4062023646995905,0.4062023646995905,0.47659763530040955,1611.2080235241992,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
5,random,0.3207625492966912,0.4062023646995905,0.47659763530040955,533.8174961483361,2.4653,22.0,70.0,6.5855,70.3505,9.0316,2.7353
6,random,0.16255669518608346,0.4062023646995905,0.47659763530040955,204.7736759460605,2.3518,59.0,77.0,8.018,55.7338,3.7697,2.7353
7,random,0.16834065632071266,0.4062023646995905,0.47659763530040955,827.9330520828327,2.6851,81.0,83.0,2.4478,68.3806,23.6237,2.7353
8,random,0.10988467963567491,0.4062023646995905,0.47659763530040955,1968.9493750016622,2.0626,63.0,73.0,5.1392,35.8216,5.9872,2.7353
9,random,0.35847891783366265,0.4062023646995905,0.47659763530040955,3028.2122008256406,2.4118,17.0,24.0,11.6386,54.3321,10.7055,2.7353
10,random,0.12754482879276588,0.4062023646995905,0.47659763530040955,3016.4286247998602,2.6179,83.0,27.0,11.2676,5.3884,18.8244,2.7353
11,random,0.09656391377887548,0.4062023646995905,0.47659763530040955,472.65656213116176,2.284,69.0,35.0,3.1837,32.2345,4.4852,2.7353
12,perturb_wrong_r_low,0.4015403931940736,0.4062023646995905,0.47659763530040955,1611.2080235241992,2.0712,29.0,86.0,3.2067,32.7152,0.0934,2.7353
13,perturb_wrong_r_high,0.41344143916187054,0.41344143916187054,0.4693585608381295,1611.2080235241992,2.7182,29.0,86.0,3.2067,32.7152,0.0934,2.7353
14,perturb_offset_shift,0.11814087811922581,0.41344143916187054,0.4693585608381295,1611.2080235241992,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
15,perturb_misaligned,0.20294163056335326,0.41344143916187054,0.4693585608381295,1655.8058311202558,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
16,perturb_ambiguous_lines,0.4062023646995905,0.41344143916187054,0.4693585608381295,1611.2080235241992,2.632,29.0,86.0,11.8293,77.1061,0.0934,2.7353
17,perturb_small_segment,0.5333374422857214,0.5333374422857214,0.3494625577142786,1611.2080235241992,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
18,perturb_guardrail_smoke,0.23931277836763737,0.5333374422857214,0.3494625577142786,69.12,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
19,perturb_weak_hough,0.4062023646995905,0.5333374422857214,0.3494625577142786,1611.2080235241992,2.632,85.0,112.0,3.2067,32.7152,0.0934,2.7353
20,perturb_wrong_k,0.24015391125845412,0.5333374422857214,0.3494625577142786,2218.945364023061,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
21,perturb_wrong_k,0.20768968151710615,0.5333374422857214,0.3494625577142786,1107.0929937590763,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
22,perturb_wrong_r_low,0.4015403931940736,0.5333374422857214,0.3494625577142786,1611.2080235241992,2.0712,29.0,86.0,3.2067,32.7152,0.0934,2.7353
23,perturb_wrong_r_high,0.41344143916187054,0.5333374422857214,0.3494625577142786,1611.2080235241992,2.7182,29.0,86.0,3.2067,32.7152,0.0934,2.7353
24,bo,0.13310974005916004,0.5333374422857214,0.3494625577142786,3098.826041631278,2.6284,76.0,89.0,3.7506,30.1968,2.3257,2.7353
25,bo,0.12400059893349405,0.5333374422857214,0.3494625577142786,1952.433849043682,2.7084,30.0,89.0,8.0098,40.8087,0.7591,2.7353
26,bo,0.1420059513729437,0.5333374422857214,0.3494625577142786,1796.656471731212,2.6263,20.0,111.0,6.2918,35.4395,12.9749,2.7353
27,bo,0.14308412779991417,0.5333374422857214,0.3494625577142786,2223.63453484116,2.6257,26.0,84.0,11.6258,76.7163,1.0084,2.7353
28,bo,0.26351794392526956,0.5333374422857214,0.3494625577142786,1463.0698441011,2.7431,52.0,106.0,11.7475,34.8021,0.7428,2.7353
29,bo,0.1086234987836986,0.5333374422857214,0.3494625577142786,1103.604675118403,2.4056,45.0,24.0,5.2492,57.8062,11.3494,2.7353
30,bo,0.1027400401204583,0.5333374422857214,0.3494625577142786,2168.7556486467547,2.6449,85.0,58.0,4.0233,30.2344,11.9433,2.7353
31,bo,0.19859949851956057,0.5333374422857214,0.3494625577142786,1415.3368669666888,2.4883,38.0,49.0,9.37,70.2686,10.1003,2.7353
32,bo,0.12988635965316106,0.5333374422857214,0.3494625577142786,378.682925672994,2.1073,66.0,71.0,1.2107,32.2014,1.4978,2.7353
33,bo,0.2722567680951367,0.5333374422857214,0.3494625577142786,1577.0828062227267,2.4673,69.0,65.0,3.2644,67.2943,7.7142,2.7353
34,bo,0.0807504650234216,0.5333374422857214,0.3494625577142786,663.6179452149341,2.5608,63.0,85.0,2.7981,50.7334,15.2601,2.7353
35,bo,0.12444330162018412,0.5333374422857214,0.3494625577142786,2175.16166571268,2.5878,86.0,120.0,4.9485,31.3397,0.0568,2.7353
36,bo,0.22707414589928865,0.5333374422857214,0.3494625577142786,1855.322426491237,2.6596,36.0,62.0,4.8031,34.8995,0.1356,2.7353
37,bo,0.09898202131227293,0.5333374422857214,0.3494625577142786,2978.5281085040324,2.4488,27.0,15.0,2.0755,66.3569,7.6054,2.7353
38,bo,0.09089051120555905,0.5333374422857214,0.3494625577142786,2509.591850870974,2.4784,87.0,53.0,8.8331,67.647,9.4374,2.7353
39,bo,0.09423693908519402,0.5333374422857214,0.3494625577142786,2026.1720809604624,2.6875,75.0,103.0,3.2909,35.6731,24.8734,2.7353
40,bo,0.19496707647746106,0.5333374422857214,0.3494625577142786,2486.3681674258078,2.3902,30.0,60.0,11.2167,55.0784,16.6323,2.7353
41,bo,0.21135196008798146,0.5333374422857214,0.3494625577142786,1479.5104259001976,2.6321,28.0,112.0,3.3424,30.6614,5.163,2.7353
42,bo,0.1586405826661601,0.5333374422857214,0.3494625577142786,463.2023353274645,2.6166,80.0,118.0,3.2579,29.9709,0.0063,2.7353
43,bo,0.17437439228747273,0.5333374422857214,0.3494625577142786,998.7767547000575,2.5932,20.0,22.0,2.6986,33.0321,21.5927,2.7353
44,bo,0.19583329933181712,0.5333374422857214,0.3494625577142786,3249.078793030147,2.0716,44.0,56.0,4.1051,33.0114,4.1576,2.7353
45,bo,0.20532652640046206,0.5333374422857214,0.3494625577142786,1836.0779760673945,2.5119,31.0,82.0,3.8942,64.635,8.7756,2.7353
