iteration,status,selected_branch,proxy_plus_miou,proxy_minus_miou,selected_proxy_miou,selected_gt_miou,plus_gt_miou,minus_gt_miou,G_pre,G_layout,G_frame_robustness,G_proxy_gain,J_reflect_v3,J_direction_reflect,J_arm_c_proxy,penalties,branch_flip,proxy_margin,k_confidence_avg,hard_failures_count,param_move_norm,errors,proposal,parameters_used
0,ok,minus,0.31244224839988877,0.4681863929833663,0.4681863929833663,0.7854450430866597,0.15095011415783202,0.7854450430866597,True,True,True,False,0.05,1.0,0.5981863929833663,0.0,False,0.15574414458347752,0.5125,0,0.0,[],"{""mode"": ""baseline"", ""parameter_updates"": {}, ""expected_effect"": ""establish Arm B baseline in Arm C sandbox"", ""risk"": ""none"", ""why_this_is_not_a_small_local_move"": ""baseline anchor run"", ""stop_or_continue"": ""continue""}","{""radius_max"": 4.4, ""target_distance_2"": 0.04, ""outlier_neighbors"": 20.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
1,ok,minus,0.20090134885132427,0.21015131531622416,0.21015131531622416,0.02591139240506329,0.02591139240506329,0.02591139240506329,False,False,False,False,0.0,0.23237488262714964,0.12557857684313764,0.11245772438834448,False,0.009249966464899895,0.5125,1,0.15572155485430592,[],"{""mode"": ""explore"", ""parameter_updates"": {""radius_max"": 3.6747320036764854, ""target_distance_2"": 0.01856142508884707}, ""expected_effect"": ""increase robust intrinsic proxy while preserving structure"", ""risk"": ""may reduce completeness on sparse regions"", ""why_this_is_not_a_small_local_move"": ""Wide move to escape local basin and test a distinct failure mode."", ""stop_or_continue"": ""continue""}","{""radius_max"": 3.6747320036764854, ""target_distance_2"": 0.01856142508884707, ""outlier_neighbors"": 20.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
2,ok,minus,0.31244224839988877,0.4681863929833663,0.4681863929833663,0.7854450430866597,0.15095011415783202,0.7854450430866597,True,True,True,False,0.05,1.0,0.5926131688154916,0.005573224167874672,False,0.15574414458347752,0.5125,0,0.0696653020984334,[],"{""mode"": ""explore"", ""parameter_updates"": {""radius_max"": 4.320772957452509, ""target_distance_2"": 0.015}, ""expected_effect"": ""increase robust intrinsic proxy while preserving structure"", ""risk"": ""may reduce completeness on sparse regions"", ""why_this_is_not_a_small_local_move"": ""Wide move to escape local basin and test a distinct failure mode."", ""stop_or_continue"": ""continue""}","{""radius_max"": 4.320772957452509, ""target_distance_2"": 0.015, ""outlier_neighbors"": 20.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
3,ok,minus,0.1968780216364125,0.20449840836982489,0.20449840836982489,0.025535864978902954,0.025535864978902954,0.025535864978902954,False,False,False,False,0.0,0.2266713535669434,0.12256972516462904,0.10912924563322905,False,0.007620386733412393,0.5125,1,0.11411557041536309,[],"{""mode"": ""explore"", ""parameter_updates"": {""radius_max"": 3.695706855649151, ""target_distance_2"": 0.02895601393464373}, ""expected_effect"": ""increase robust intrinsic proxy while preserving structure"", ""risk"": ""may reduce completeness on sparse regions"", ""why_this_is_not_a_small_local_move"": ""Wide move to escape local basin and test a distinct failure mode."", ""stop_or_continue"": ""continue""}","{""radius_max"": 3.695706855649151, ""target_distance_2"": 0.02895601393464373, ""outlier_neighbors"": 20.0, ""target_distance_1"": 0.08, ""interpolation_window"": 9.0}"
