trial_id,kind,gt_miou,best_so_far,regret_vs_ceiling,k_y,r_surface_min,hough_oblique_threshold,hough_horizontal_threshold,line_merge_distance,line_snap_tolerance_px,segmentation_slot_inset_y,r_surface_min_ceiling_ref
0,gt_layout_ceiling_r,0.8548967926658134,0.8548967926658134,0.027903207334186608,1455.161179786177,2.7353,37.0,50.0,3.0,20.0,0.0,2.7353
1,gt_layout_otsu_r,0.8343921509835116,0.8548967926658134,0.027903207334186608,1455.161179786177,2.449,37.0,50.0,3.0,20.0,0.0,2.7353
2,intrinsic_r_otsu,0.10267161050590758,0.8548967926658134,0.027903207334186608,2160.3299325857292,2.449,77.0,98.0,6.1473,27.7274,6.9606,2.7353
3,random,0.23304467874569765,0.8548967926658134,0.027903207334186608,1538.1837131304264,2.4054,31.0,28.0,7.7379,8.2957,0.892,2.7353
4,random,0.4062023646995905,0.8548967926658134,0.027903207334186608,1611.2080235241992,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
5,random,0.3207625492966912,0.8548967926658134,0.027903207334186608,533.8174961483361,2.4653,22.0,70.0,6.5855,70.3505,9.0316,2.7353
6,random,0.16255669518608346,0.8548967926658134,0.027903207334186608,204.7736759460605,2.3518,59.0,77.0,8.018,55.7338,3.7697,2.7353
7,random,0.16834065632071266,0.8548967926658134,0.027903207334186608,827.9330520828327,2.6851,81.0,83.0,2.4478,68.3806,23.6237,2.7353
8,random,0.10988467963567491,0.8548967926658134,0.027903207334186608,1968.9493750016622,2.0626,63.0,73.0,5.1392,35.8216,5.9872,2.7353
9,random,0.35847891783366265,0.8548967926658134,0.027903207334186608,3028.2122008256406,2.4118,17.0,24.0,11.6386,54.3321,10.7055,2.7353
10,random,0.12754482879276588,0.8548967926658134,0.027903207334186608,3016.4286247998602,2.6179,83.0,27.0,11.2676,5.3884,18.8244,2.7353
11,random,0.09656391377887548,0.8548967926658134,0.027903207334186608,472.65656213116176,2.284,69.0,35.0,3.1837,32.2345,4.4852,2.7353
