trial_id,kind,gt_miou,best_so_far,regret_vs_ceiling,k_y,r_surface_min,hough_oblique_threshold,hough_horizontal_threshold,line_merge_distance,line_snap_tolerance_px,segmentation_slot_inset_y,r_surface_min_ceiling_ref
0,sam4tun_static,0.09855346649031459,0.09855346649031459,0.7842465335096854,2717.957952449005,2.0353,37.0,37.0,12.0,37.0,0.0,2.7353
1,intrinsic_r_otsu,0.10267161050590758,0.10267161050590758,0.7801283894940925,2160.3299325857292,2.449,77.0,98.0,6.1473,27.7274,6.9606,2.7353
2,random,0.23304467874569765,0.23304467874569765,0.6497553212543024,1538.1837131304264,2.4054,31.0,28.0,7.7379,8.2957,0.892,2.7353
3,random,0.4062023646995905,0.4062023646995905,0.47659763530040955,1611.2080235241992,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
4,random,0.3207625492966912,0.4062023646995905,0.47659763530040955,533.8174961483361,2.4653,22.0,70.0,6.5855,70.3505,9.0316,2.7353
5,random,0.16255669518608346,0.4062023646995905,0.47659763530040955,204.7736759460605,2.3518,59.0,77.0,8.018,55.7338,3.7697,2.7353
6,random,0.16834065632071266,0.4062023646995905,0.47659763530040955,827.9330520828327,2.6851,81.0,83.0,2.4478,68.3806,23.6237,2.7353
7,random,0.10988467963567491,0.4062023646995905,0.47659763530040955,1968.9493750016622,2.0626,63.0,73.0,5.1392,35.8216,5.9872,2.7353
8,random,0.35847891783366265,0.4062023646995905,0.47659763530040955,3028.2122008256406,2.4118,17.0,24.0,11.6386,54.3321,10.7055,2.7353
9,random,0.12754482879276588,0.4062023646995905,0.47659763530040955,3016.4286247998602,2.6179,83.0,27.0,11.2676,5.3884,18.8244,2.7353
10,random,0.09656391377887548,0.4062023646995905,0.47659763530040955,472.65656213116176,2.284,69.0,35.0,3.1837,32.2345,4.4852,2.7353
11,random,0.08305746397966544,0.4062023646995905,0.47659763530040955,3276.716756235776,2.342,54.0,67.0,10.8619,60.7076,14.5163,2.7353
12,perturb_guardrail_smoke,0.13303691875840626,0.4062023646995905,0.47659763530040955,69.12,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
13,perturb_wrong_r_low,0.4015403931940736,0.4062023646995905,0.47659763530040955,1611.2080235241992,2.0712,29.0,86.0,3.2067,32.7152,0.0934,2.7353
14,perturb_wrong_k,0.21667224497141677,0.4062023646995905,0.47659763530040955,1151.7960959979428,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
15,perturb_ambiguous_lines,0.4062023646995905,0.4062023646995905,0.47659763530040955,1611.2080235241992,2.632,29.0,86.0,11.4662,76.8172,0.0934,2.7353
16,perturb_small_segment,0.5333374422857214,0.5333374422857214,0.3494625577142786,1611.2080235241992,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
17,perturb_wrong_k,0.24993843402415233,0.5333374422857214,0.3494625577142786,2199.609402896165,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
18,perturb_offset_shift,0.36758545102775386,0.5333374422857214,0.3494625577142786,1611.2080235241992,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
19,perturb_wrong_r_high,0.41344143916187054,0.5333374422857214,0.3494625577142786,1611.2080235241992,2.7182,29.0,86.0,3.2067,32.7152,0.0934,2.7353
20,perturb_weak_hough,0.4062023646995905,0.5333374422857214,0.3494625577142786,1611.2080235241992,2.632,82.0,117.0,3.2067,32.7152,0.0934,2.7353
21,perturb_misaligned,0.3955686370445241,0.5333374422857214,0.3494625577142786,1682.883905747518,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
22,perturb_guardrail_smoke,0.13303691875840626,0.5333374422857214,0.3494625577142786,69.12,2.632,29.0,86.0,3.2067,32.7152,0.0934,2.7353
23,perturb_wrong_r_low,0.4015403931940736,0.5333374422857214,0.3494625577142786,1611.2080235241992,2.0712,29.0,86.0,3.2067,32.7152,0.0934,2.7353
24,bo,0.16227546131204423,0.5333374422857214,0.3494625577142786,1995.2283357763313,2.7164,50.0,25.0,11.167,37.6108,0.1111,2.7353
