ring_key,n_trials,ceiling_reference,best_bo_miou,regret_vs_ceiling,miou_std,experience_gate_passed
1-1/r20,60,0.8828,0.5333374422857214,0.3494625577142786,0.11759682355264942,True
1-4/r206,120,0.9351,0.30827023332251796,0.626829766677482,0.06479604402894315,True
1-5/r271,60,0.8951,0.303738657222794,0.591361342777206,0.06418442203596529,True
4-1/r116,60,0.9051,0.39984248740637723,0.5052575125936227,0.07894972088304272,True
4-6/r283,120,0.8686,0.8055310465609322,0.06306895343906782,0.19910244658809326,True
5-5/r258,60,0.8745,0.27988881906067825,0.5946111809393217,0.06265861416910136,True
