trial_id,kind,gt_miou,best_so_far,regret_vs_ceiling,k_y,r_surface_min,hough_oblique_threshold,hough_horizontal_threshold,line_merge_distance,line_snap_tolerance_px,segmentation_slot_inset_y,r_surface_min_ceiling_ref
0,geometric_0,0.1897997394744278,0.1897997394744278,0.7453002605255723,0.0,2.7466,37.0,50.0,3.0,20.0,0.0,2.7397
1,geometric_1,0.24543442546909994,0.24543442546909994,0.6896655745309002,0.0,2.7466,37.0,50.0,3.0,20.0,0.0,2.7397
2,intrinsic_r_otsu,0.17059605785635545,0.24543442546909994,0.6896655745309002,2160.3299325857292,2.7397,77.0,98.0,6.1473,27.7274,6.9606,2.7397
3,random,0.07814044901571364,0.24543442546909994,0.6896655745309002,1538.1837131304264,2.7468,31.0,28.0,7.7379,8.2957,0.892,2.7397
4,random,0.05836244516249538,0.24543442546909994,0.6896655745309002,1611.2080235241992,2.7512,29.0,86.0,3.2067,32.7152,0.0934,2.7397
5,random,0.10075107693337178,0.24543442546909994,0.6896655745309002,533.8174961483361,2.7479,22.0,70.0,6.5855,70.3505,9.0316,2.7397
6,random,0.15812672768218247,0.24543442546909994,0.6896655745309002,204.7736759460605,2.7458,59.0,77.0,8.018,55.7338,3.7697,2.7397
7,random,0.05653547192994187,0.24543442546909994,0.6896655745309002,827.9330520828327,2.7522,81.0,83.0,2.4478,68.3806,23.6237,2.7397
8,random,0.12758271225155482,0.24543442546909994,0.6896655745309002,1968.9493750016622,2.7402,63.0,73.0,5.1392,35.8216,5.9872,2.7397
9,random,0.08785479912196296,0.24543442546909994,0.6896655745309002,3028.2122008256406,2.7469,17.0,24.0,11.6386,54.3321,10.7055,2.7397
10,random,0.05757804904396673,0.24543442546909994,0.6896655745309002,3016.4286247998602,2.7509,83.0,27.0,11.2676,5.3884,18.8244,2.7397
11,random,0.10745278166706229,0.24543442546909994,0.6896655745309002,472.65656213116176,2.7445,69.0,35.0,3.1837,32.2345,4.4852,2.7397
12,random,0.1519350479681407,0.24543442546909994,0.6896655745309002,3276.716756235776,2.7456,54.0,67.0,10.8619,60.7076,14.5163,2.7397
13,random,0.20671929169904907,0.24543442546909994,0.6896655745309002,3035.017242149577,2.7531,34.0,99.0,8.4412,58.7814,15.7406,2.7397
14,random,0.10478460358428941,0.24543442546909994,0.6896655745309002,1149.7471230343388,2.7439,23.0,76.0,6.2712,49.6014,16.4819,2.7397
15,random,0.07429388179167631,0.24543442546909994,0.6896655745309002,3322.4285194091954,2.7508,72.0,100.0,9.0299,13.4904,22.8339,2.7397
16,random,0.2714963146413305,0.2714963146413305,0.6636036853586695,3033.301363140788,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
17,random,0.08812629283013175,0.2714963146413305,0.6636036853586695,2342.7315368086215,2.7529,61.0,31.0,7.3183,7.9765,20.0416,2.7397
18,random,0.05454656969696405,0.2714963146413305,0.6636036853586695,2951.455350557417,2.7519,39.0,105.0,9.7684,14.6853,19.1715,2.7397
19,random,0.05773155692794727,0.2714963146413305,0.6636036853586695,681.808561338516,2.752,77.0,98.0,4.5989,59.1535,21.6818,2.7397
20,random,0.24402902886942598,0.2714963146413305,0.6636036853586695,558.1866019288294,2.7415,34.0,60.0,8.2297,12.5824,9.5146,2.7397
21,random,0.14503474962717405,0.2714963146413305,0.6636036853586695,2289.414141898861,2.7438,40.0,60.0,1.8968,61.4549,14.4764,2.7397
22,random,0.08319974350753447,0.2714963146413305,0.6636036853586695,268.0009540450657,2.7457,35.0,44.0,10.1607,51.4943,4.6786,2.7397
23,random,0.13312686675509494,0.2714963146413305,0.6636036853586695,3054.836038079739,2.7423,66.0,51.0,1.7063,43.9082,18.9365,2.7397
24,perturb_wrong_r_low,0.2822395240275678,0.2822395240275678,0.6528604759724322,3033.301363140788,2.7404,34.0,31.0,7.2376,7.9239,14.7597,2.7397
25,perturb_weak_hough,0.2714963146413305,0.2822395240275678,0.6528604759724322,3033.301363140788,2.742,86.0,115.0,7.2376,7.9239,14.7597,2.7397
26,perturb_ambiguous_lines,0.2714963146413305,0.2822395240275678,0.6528604759724322,3033.301363140788,2.742,34.0,31.0,11.9947,79.3158,14.7597,2.7397
27,perturb_wrong_r_high,0.1488403547451668,0.2822395240275678,0.6528604759724322,3033.301363140788,2.7528,34.0,31.0,7.2376,7.9239,14.7597,2.7397
28,perturb_wrong_k,0.1561826434356064,0.2822395240275678,0.6528604759724322,2539.474893823739,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
29,perturb_small_segment,0.1860106566820843,0.2822395240275678,0.6528604759724322,3033.301363140788,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
30,perturb_misaligned,0.15316627272073902,0.2822395240275678,0.6528604759724322,3222.980504101511,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
31,perturb_offset_shift,0.11629524120374311,0.2822395240275678,0.6528604759724322,3033.301363140788,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
32,perturb_guardrail_smoke,0.1223282295853277,0.2822395240275678,0.6528604759724322,3386.88,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
33,perturb_wrong_k,0.19369939692203064,0.2822395240275678,0.6528604759724322,3452.510631554734,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
34,perturb_wrong_r_low,0.2822395240275678,0.2822395240275678,0.6528604759724322,3033.301363140788,2.7404,34.0,31.0,7.2376,7.9239,14.7597,2.7397
35,perturb_weak_hough,0.2714963146413305,0.2822395240275678,0.6528604759724322,3033.301363140788,2.742,86.0,115.0,7.2376,7.9239,14.7597,2.7397
36,perturb_ambiguous_lines,0.2714963146413305,0.2822395240275678,0.6528604759724322,3033.301363140788,2.742,34.0,31.0,11.9947,79.3158,14.7597,2.7397
37,perturb_wrong_r_high,0.1488403547451668,0.2822395240275678,0.6528604759724322,3033.301363140788,2.7528,34.0,31.0,7.2376,7.9239,14.7597,2.7397
38,perturb_wrong_k,0.1561826434356064,0.2822395240275678,0.6528604759724322,2539.474893823739,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
39,perturb_small_segment,0.1860106566820843,0.2822395240275678,0.6528604759724322,3033.301363140788,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
40,perturb_misaligned,0.15316627272073902,0.2822395240275678,0.6528604759724322,3222.980504101511,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
41,perturb_offset_shift,0.11629524120374311,0.2822395240275678,0.6528604759724322,3033.301363140788,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
42,perturb_guardrail_smoke,0.1223282295853277,0.2822395240275678,0.6528604759724322,3386.88,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
43,perturb_wrong_k,0.19369939692203064,0.2822395240275678,0.6528604759724322,3452.510631554734,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
44,perturb_wrong_r_low,0.2822395240275678,0.2822395240275678,0.6528604759724322,3033.301363140788,2.7404,34.0,31.0,7.2376,7.9239,14.7597,2.7397
45,perturb_weak_hough,0.2714963146413305,0.2822395240275678,0.6528604759724322,3033.301363140788,2.742,86.0,115.0,7.2376,7.9239,14.7597,2.7397
46,perturb_ambiguous_lines,0.2714963146413305,0.2822395240275678,0.6528604759724322,3033.301363140788,2.742,34.0,31.0,11.9947,79.3158,14.7597,2.7397
47,perturb_wrong_r_high,0.1488403547451668,0.2822395240275678,0.6528604759724322,3033.301363140788,2.7528,34.0,31.0,7.2376,7.9239,14.7597,2.7397
48,bo,0.15606066431391058,0.2822395240275678,0.6528604759724322,2796.10746748863,2.7411,78.0,12.0,1.4639,39.2634,21.0593,2.7397
49,bo,0.26085171215956104,0.2822395240275678,0.6528604759724322,2734.4148790115078,2.7398,87.0,54.0,8.6494,71.0978,3.5051,2.7397
50,bo,0.15167506903543523,0.2822395240275678,0.6528604759724322,3033.976640905235,2.7415,22.0,87.0,10.8351,58.0047,23.2113,2.7397
51,bo,0.15133403034235918,0.2822395240275678,0.6528604759724322,2119.4121593601794,2.74,89.0,24.0,9.6479,22.8333,19.6662,2.7397
52,bo,0.20556492251465724,0.2822395240275678,0.6528604759724322,2623.408375573532,2.7406,26.0,36.0,3.7994,35.5228,3.3989,2.7397
53,bo,0.14880815016182844,0.2822395240275678,0.6528604759724322,3184.109460853359,2.7401,60.0,32.0,3.909,7.18,2.9999,2.7397
54,bo,0.11880924663229668,0.2822395240275678,0.6528604759724322,3180.0752685206876,2.74,54.0,61.0,1.9789,8.8038,8.1951,2.7397
55,bo,0.1016839741790626,0.2822395240275678,0.6528604759724322,2695.983966702133,2.7412,41.0,74.0,8.0804,33.3308,23.7861,2.7397
56,bo,0.10724861209773882,0.2822395240275678,0.6528604759724322,2820.4546641891125,2.7408,54.0,91.0,2.3818,53.31,13.7053,2.7397
57,bo,0.22627658520291544,0.2822395240275678,0.6528604759724322,1676.0698101072257,2.7413,26.0,24.0,2.4111,68.7256,5.6696,2.7397
58,bo,0.22920616668276533,0.2822395240275678,0.6528604759724322,2770.537043813998,2.7412,80.0,107.0,5.8216,73.3542,15.7906,2.7397
59,bo,0.11729347811557589,0.2822395240275678,0.6528604759724322,3312.195147506604,2.7419,72.0,20.0,3.8363,14.0416,6.7279,2.7397
60,bo,0.24857452081499784,0.2822395240275678,0.6528604759724322,2804.644582538051,2.7402,55.0,77.0,1.0125,29.4166,13.8749,2.7397
61,bo,0.12389781388713798,0.2822395240275678,0.6528604759724322,3084.494440543016,2.7411,51.0,91.0,8.6067,9.6807,16.1122,2.7397
62,bo,0.16698317631931517,0.2822395240275678,0.6528604759724322,2820.804891077211,2.7417,68.0,94.0,5.7073,20.6545,12.757,2.7397
63,bo,0.14185423930383156,0.2822395240275678,0.6528604759724322,2361.3824327410593,2.7412,26.0,37.0,9.4977,78.4624,9.5377,2.7397
64,bo,0.11475200408802019,0.2822395240275678,0.6528604759724322,1905.7159401550116,2.7414,20.0,77.0,9.2909,11.2663,16.3893,2.7397
65,bo,0.18824551749002866,0.2822395240275678,0.6528604759724322,3307.7976983398476,2.7418,46.0,110.0,9.4286,59.007,13.8884,2.7397
