llm,condition,tunnel_id,family_alternated_continuous_complex,family_regular_all_vs_complex,schema,class_name,iou
gpt5.4,sam4tun,3-1-3,continuous,regular_all,6,A1-block,0.0
gpt5.4,sam4tun,3-1-3,continuous,regular_all,6,A2-block,0.0
gpt5.4,sam4tun,3-1-3,continuous,regular_all,6,A3-block,0.0
gpt5.4,sam4tun,3-1-3,continuous,regular_all,6,B2-block,0.0
gpt5.4,sam4tun,4-1,complex,complex,7,Background,0.303
gpt5.4,sam4tun,4-1,complex,complex,7,K-block,0.0
gpt5.4,sam4tun,4-1,complex,complex,7,B1-block,0.0
gpt5.4,sam4tun,4-1,complex,complex,7,A1-block,0.0
gpt5.4,sam4tun,4-1,complex,complex,7,A2-block,0.0
gpt5.4,sam4tun,4-1,complex,complex,7,A3-block,0.0
gpt5.4,sam4tun,4-1,complex,complex,7,A4-block,0.0
gpt5.4,sam4tun,4-1,complex,complex,7,B2-block,0.0
gpt5.4,sam4tun,4-10,complex,complex,7,Background,0.324
gpt5.4,sam4tun,4-10,complex,complex,7,K-block,0.0
gpt5.4,sam4tun,4-10,complex,complex,7,B1-block,0.0
gpt5.4,sam4tun,4-10,complex,complex,7,A1-block,0.0
gpt5.4,sam4tun,4-10,complex,complex,7,A2-block,0.0
gpt5.4,sam4tun,4-10,complex,complex,7,A3-block,0.0
gpt5.4,sam4tun,4-10,complex,complex,7,A4-block,0.0
gpt5.4,sam4tun,4-10,complex,complex,7,B2-block,0.0
gpt5.4,sam4tun,4-2,complex,complex,7,Background,0.355
gpt5.4,sam4tun,4-2,complex,complex,7,K-block,0.0
gpt5.4,sam4tun,4-2,complex,complex,7,B1-block,0.0
gpt5.4,sam4tun,4-2,complex,complex,7,A1-block,0.0
gpt5.4,sam4tun,4-2,complex,complex,7,A2-block,0.0
gpt5.4,sam4tun,4-2,complex,complex,7,A3-block,0.0
gpt5.4,sam4tun,4-2,complex,complex,7,A4-block,0.0
gpt5.4,sam4tun,4-2,complex,complex,7,B2-block,0.0
gpt5.4,sam4tun,4-3,complex,complex,7,Background,0.34
gpt5.4,sam4tun,4-3,complex,complex,7,K-block,0.0
gpt5.4,sam4tun,4-3,complex,complex,7,B1-block,0.0
gpt5.4,sam4tun,4-3,complex,complex,7,A1-block,0.0
gpt5.4,sam4tun,4-3,complex,complex,7,A2-block,0.0
gpt5.4,sam4tun,4-3,complex,complex,7,A3-block,0.0
gpt5.4,sam4tun,4-3,complex,complex,7,A4-block,0.0
gpt5.4,sam4tun,4-3,complex,complex,7,B2-block,0.0
gpt5.4,sam4tun,4-4,complex,complex,7,Background,0.338
gpt5.4,sam4tun,4-4,complex,complex,7,K-block,0.0
gpt5.4,sam4tun,4-4,complex,complex,7,B1-block,0.0
gpt5.4,sam4tun,4-4,complex,complex,7,A1-block,0.0
gpt5.4,sam4tun,4-4,complex,complex,7,A2-block,0.0
gpt5.4,sam4tun,4-4,complex,complex,7,A3-block,0.0
gpt5.4,sam4tun,4-4,complex,complex,7,A4-block,0.0
gpt5.4,sam4tun,4-4,complex,complex,7,B2-block,0.0
gpt5.4,sam4tun,4-5,complex,complex,,Background,0.355
gpt5.4,sam4tun,4-5,complex,complex,,K-block,0.0
gpt5.4,sam4tun,4-5,complex,complex,,B1-block,0.0
gpt5.4,sam4tun,4-5,complex,complex,,A1-block,0.0
gpt5.4,sam4tun,4-5,complex,complex,,A2-block,0.0
gpt5.4,sam4tun,4-5,complex,complex,,A3-block,0.0
gpt5.4,sam4tun,4-5,complex,complex,,A4-block,0.0
gpt5.4,sam4tun,4-5,complex,complex,,B2-block,0.0
gpt5.4,sam4tun,4-6,complex,complex,,Background,0.374
gpt5.4,sam4tun,4-6,complex,complex,,K-block,0.0
gpt5.4,sam4tun,4-6,complex,complex,,B1-block,0.0
gpt5.4,sam4tun,4-6,complex,complex,,A1-block,0.0
gpt5.4,sam4tun,4-6,complex,complex,,A2-block,0.0
gpt5.4,sam4tun,4-6,complex,complex,,A3-block,0.0
gpt5.4,sam4tun,4-6,complex,complex,,A4-block,0.0
gpt5.4,sam4tun,4-6,complex,complex,,B2-block,0.0
gpt5.4,sam4tun,4-7,complex,complex,,Background,0.374
gpt5.4,sam4tun,4-7,complex,complex,,K-block,0.0
gpt5.4,sam4tun,4-7,complex,complex,,B1-block,0.0
gpt5.4,sam4tun,4-7,complex,complex,,A1-block,0.0
gpt5.4,sam4tun,4-7,complex,complex,,A2-block,0.0
gpt5.4,sam4tun,4-7,complex,complex,,A3-block,0.0
gpt5.4,sam4tun,4-7,complex,complex,,A4-block,0.0
gpt5.4,sam4tun,4-7,complex,complex,,B2-block,0.0
gpt5.4,sam4tun,4-8,complex,complex,,Background,0.336
gpt5.4,sam4tun,4-8,complex,complex,,K-block,0.0
gpt5.4,sam4tun,4-8,complex,complex,,B1-block,0.0
gpt5.4,sam4tun,4-8,complex,complex,,A1-block,0.0
gpt5.4,sam4tun,4-8,complex,complex,,A2-block,0.0
gpt5.4,sam4tun,4-8,complex,complex,,A3-block,0.0
gpt5.4,sam4tun,4-8,complex,complex,,A4-block,0.0
gpt5.4,sam4tun,4-8,complex,complex,,B2-block,0.0
gpt5.4,sam4tun,4-9,complex,complex,,Background,0.329
gpt5.4,sam4tun,4-9,complex,complex,,K-block,0.0
gpt5.4,sam4tun,4-9,complex,complex,,B1-block,0.0
gpt5.4,sam4tun,4-9,complex,complex,,A1-block,0.0
gpt5.4,sam4tun,4-9,complex,complex,,A2-block,0.0
gpt5.4,sam4tun,4-9,complex,complex,,A3-block,0.0
gpt5.4,sam4tun,4-9,complex,complex,,A4-block,0.0
gpt5.4,sam4tun,4-9,complex,complex,,B2-block,0.0
gpt5.4,sam4tun,5-1,complex,complex,,Background,0.298
gpt5.4,sam4tun,5-1,complex,complex,,K-block,0.0
gpt5.4,sam4tun,5-1,complex,complex,,B1-block,0.0
gpt5.4,sam4tun,5-1,complex,complex,,A1-block,0.0
gpt5.4,sam4tun,5-1,complex,complex,,A2-block,0.0
gpt5.4,sam4tun,5-1,complex,complex,,A3-block,0.0
gpt5.4,sam4tun,5-1,complex,complex,,A4-block,0.0
gpt5.4,sam4tun,5-1,complex,complex,,B2-block,0.0
gpt5.4,sam4tun,5-2,complex,complex,,Background,0.309
gpt5.4,sam4tun,5-2,complex,complex,,K-block,0.0
gpt5.4,sam4tun,5-2,complex,complex,,B1-block,0.0
gpt5.4,sam4tun,5-2,complex,complex,,A1-block,0.0
gpt5.4,sam4tun,5-2,complex,complex,,A2-block,0.0
gpt5.4,sam4tun,5-2,complex,complex,,A3-block,0.0
gpt5.4,sam4tun,5-2,complex,complex,,A4-block,0.0
gpt5.4,sam4tun,5-2,complex,complex,,B2-block,0.0
gpt5.4,sam4tun,5-3,complex,complex,,Background,0.355
gpt5.4,sam4tun,5-3,complex,complex,,K-block,0.0
gpt5.4,sam4tun,5-3,complex,complex,,B1-block,0.0
gpt5.4,sam4tun,5-3,complex,complex,,A1-block,0.0
gpt5.4,sam4tun,5-3,complex,complex,,A2-block,0.0
gpt5.4,sam4tun,5-3,complex,complex,,A3-block,0.0
gpt5.4,sam4tun,5-3,complex,complex,,A4-block,0.0
gpt5.4,sam4tun,5-3,complex,complex,,B2-block,0.0
gpt5.4,sam4tun,5-4,complex,complex,,Background,0.337
gpt5.4,sam4tun,5-4,complex,complex,,K-block,0.0
gpt5.4,sam4tun,5-4,complex,complex,,B1-block,0.0
gpt5.4,sam4tun,5-4,complex,complex,,A1-block,0.0
gpt5.4,sam4tun,5-4,complex,complex,,A2-block,0.0
gpt5.4,sam4tun,5-4,complex,complex,,A3-block,0.0
gpt5.4,sam4tun,5-4,complex,complex,,A4-block,0.0
gpt5.4,sam4tun,5-4,complex,complex,,B2-block,0.0
gpt5.4,sam4tun,5-5,complex,complex,,Background,0.322
gpt5.4,sam4tun,5-5,complex,complex,,K-block,0.0
gpt5.4,sam4tun,5-5,complex,complex,,B1-block,0.0
gpt5.4,sam4tun,5-5,complex,complex,,A1-block,0.0
gpt5.4,sam4tun,5-5,complex,complex,,A2-block,0.0
gpt5.4,sam4tun,5-5,complex,complex,,A3-block,0.0
gpt5.4,sam4tun,5-5,complex,complex,,A4-block,0.0
gpt5.4,sam4tun,5-5,complex,complex,,B2-block,0.0
gpt5.4,sam4tun,5-6,complex,complex,,Background,0.331
gpt5.4,sam4tun,5-6,complex,complex,,K-block,0.0
gpt5.4,sam4tun,5-6,complex,complex,,B1-block,0.0
gpt5.4,sam4tun,5-6,complex,complex,,A1-block,0.0
gpt5.4,sam4tun,5-6,complex,complex,,A2-block,0.0
gpt5.4,sam4tun,5-6,complex,complex,,A3-block,0.0
gpt5.4,sam4tun,5-6,complex,complex,,A4-block,0.0
gpt5.4,sam4tun,5-6,complex,complex,,B2-block,0.0
gpt5.4,sam4tun,5-7,complex,complex,,Background,0.343
gpt5.4,sam4tun,5-7,complex,complex,,K-block,0.0
gpt5.4,sam4tun,5-7,complex,complex,,B1-block,0.0
gpt5.4,sam4tun,5-7,complex,complex,,A1-block,0.0
gpt5.4,sam4tun,5-7,complex,complex,,A2-block,0.0
gpt5.4,sam4tun,5-7,complex,complex,,A3-block,0.0
gpt5.4,sam4tun,5-7,complex,complex,,A4-block,0.0
gpt5.4,sam4tun,5-7,complex,complex,,B2-block,0.0
gpt5.4,memory,1-1,alternated,regular_all,6,Background,0.636
gpt5.4,memory,1-1,alternated,regular_all,6,K-block,0.125
gpt5.4,memory,1-1,alternated,regular_all,6,B1-block,0.181
gpt5.4,memory,1-1,alternated,regular_all,6,A1-block,0.1
gpt5.4,memory,1-1,alternated,regular_all,6,A2-block,0.203
gpt5.4,memory,1-1,alternated,regular_all,6,A3-block,0.172
gpt5.4,memory,1-1,alternated,regular_all,6,B2-block,0.173
gpt5.4,memory,1-2,alternated,regular_all,6,Background,0.488
gpt5.4,memory,1-2,alternated,regular_all,6,K-block,0.08
gpt5.4,memory,1-2,alternated,regular_all,6,B1-block,0.104
gpt5.4,memory,1-2,alternated,regular_all,6,A1-block,0.408
gpt5.4,memory,1-2,alternated,regular_all,6,A2-block,0.096
gpt5.4,memory,1-2,alternated,regular_all,6,A3-block,0.377
gpt5.4,memory,1-2,alternated,regular_all,6,B2-block,0.195
gpt5.4,memory,1-3,alternated,regular_all,6,Background,0.741
gpt5.4,memory,1-3,alternated,regular_all,6,K-block,0.195
gpt5.4,memory,1-3,alternated,regular_all,6,B1-block,0.229
gpt5.4,memory,1-3,alternated,regular_all,6,A1-block,0.221
gpt5.4,memory,1-3,alternated,regular_all,6,A2-block,0.192
gpt5.4,memory,1-3,alternated,regular_all,6,A3-block,0.252
gpt5.4,memory,1-3,alternated,regular_all,6,B2-block,0.326
gpt5.4,memory,1-4,alternated,regular_all,6,Background,0.685
gpt5.4,memory,1-4,alternated,regular_all,6,K-block,0.054
gpt5.4,memory,1-4,alternated,regular_all,6,B1-block,0.241
gpt5.4,memory,1-4,alternated,regular_all,6,A1-block,0.252
gpt5.4,memory,1-4,alternated,regular_all,6,A2-block,0.031
gpt5.4,memory,1-4,alternated,regular_all,6,A3-block,0.207
gpt5.4,memory,1-4,alternated,regular_all,6,B2-block,0.169
gpt5.4,memory,1-5,alternated,regular_all,6,Background,0.658
gpt5.4,memory,1-5,alternated,regular_all,6,K-block,0.381
gpt5.4,memory,1-5,alternated,regular_all,6,B1-block,0.334
gpt5.4,memory,1-5,alternated,regular_all,6,A1-block,0.41
gpt5.4,memory,1-5,alternated,regular_all,6,A2-block,0.43
gpt5.4,memory,1-5,alternated,regular_all,6,A3-block,0.366
gpt5.4,memory,1-5,alternated,regular_all,6,B2-block,0.598
gpt5.4,memory,2-1,alternated,regular_all,6,Background,0.588
gpt5.4,memory,2-1,alternated,regular_all,6,K-block,0.185
gpt5.4,memory,2-1,alternated,regular_all,6,B1-block,0.305
gpt5.4,memory,2-1,alternated,regular_all,6,A1-block,0.516
gpt5.4,memory,2-1,alternated,regular_all,6,A2-block,0.264
gpt5.4,memory,2-1,alternated,regular_all,6,A3-block,0.487
gpt5.4,memory,2-1,alternated,regular_all,6,B2-block,0.32
gpt5.4,memory,2-2,alternated,regular_all,6,Background,0.799
gpt5.4,memory,2-2,alternated,regular_all,6,K-block,0.298
gpt5.4,memory,2-2,alternated,regular_all,6,B1-block,0.377
gpt5.4,memory,2-2,alternated,regular_all,6,A1-block,0.511
gpt5.4,memory,2-2,alternated,regular_all,6,A2-block,0.106
gpt5.4,memory,2-2,alternated,regular_all,6,A3-block,0.288
gpt5.4,memory,2-2,alternated,regular_all,6,B2-block,0.27
gpt5.4,memory,2-3,alternated,regular_all,6,Background,0.709
gpt5.4,memory,2-3,alternated,regular_all,6,K-block,0.176
gpt5.4,memory,2-3,alternated,regular_all,6,B1-block,0.343
gpt5.4,memory,2-3,alternated,regular_all,6,A1-block,0.451
gpt5.4,memory,2-3,alternated,regular_all,6,A2-block,0.178
gpt5.4,memory,2-3,alternated,regular_all,6,A3-block,0.421
gpt5.4,memory,2-3,alternated,regular_all,6,B2-block,0.272
gpt5.4,memory,2-4,alternated,regular_all,6,Background,0.636
gpt5.4,memory,2-4,alternated,regular_all,6,K-block,0.166
gpt5.4,memory,2-4,alternated,regular_all,6,B1-block,0.289
gpt5.4,memory,2-4,alternated,regular_all,6,A1-block,0.514
gpt5.4,memory,2-4,alternated,regular_all,6,A2-block,0.257
gpt5.4,memory,2-4,alternated,regular_all,6,A3-block,0.482
gpt5.4,memory,2-4,alternated,regular_all,6,B2-block,0.34
gpt5.4,memory,2-5,alternated,regular_all,6,Background,0.77
gpt5.4,memory,2-5,alternated,regular_all,6,K-block,0.123
gpt5.4,memory,2-5,alternated,regular_all,6,B1-block,0.183
gpt5.4,memory,2-5,alternated,regular_all,6,A1-block,0.166
gpt5.4,memory,2-5,alternated,regular_all,6,A2-block,0.107
gpt5.4,memory,2-5,alternated,regular_all,6,A3-block,0.124
gpt5.4,memory,2-5,alternated,regular_all,6,B2-block,0.387
gpt5.4,memory,3-1-1,continuous,regular_all,6,Background,0.354
gpt5.4,memory,3-1-1,continuous,regular_all,6,K-block,0.215
gpt5.4,memory,3-1-1,continuous,regular_all,6,B1-block,0.44
gpt5.4,memory,3-1-1,continuous,regular_all,6,A1-block,0.001
gpt5.4,memory,3-1-1,continuous,regular_all,6,A2-block,0.045
gpt5.4,memory,3-1-1,continuous,regular_all,6,A3-block,0.0
gpt5.4,memory,3-1-1,continuous,regular_all,6,B2-block,0.521
gpt5.4,memory,3-1-2,continuous,regular_all,6,Background,0.278
gpt5.4,memory,3-1-2,continuous,regular_all,6,K-block,0.433
gpt5.4,memory,3-1-2,continuous,regular_all,6,B1-block,0.152
gpt5.4,memory,3-1-2,continuous,regular_all,6,A1-block,0.0
gpt5.4,memory,3-1-2,continuous,regular_all,6,A2-block,0.0
gpt5.4,memory,3-1-2,continuous,regular_all,6,A3-block,0.0
gpt5.4,memory,3-1-2,continuous,regular_all,6,B2-block,0.236
gpt5.4,memory,3-1-3,continuous,regular_all,6,Background,0.248
gpt5.4,memory,3-1-3,continuous,regular_all,6,K-block,0.326
gpt5.4,memory,3-1-3,continuous,regular_all,6,B1-block,0.084
gpt5.4,memory,3-1-3,continuous,regular_all,6,A1-block,0.0
gpt5.4,memory,3-1-3,continuous,regular_all,6,A2-block,0.0
gpt5.4,memory,3-1-3,continuous,regular_all,6,A3-block,0.0
gpt5.4,memory,3-1-3,continuous,regular_all,6,B2-block,0.127
gpt5.4,memory,4-1,complex,complex,7,Background,0.374
gpt5.4,memory,4-1,complex,complex,7,K-block,0.088
gpt5.4,memory,4-1,complex,complex,7,B1-block,0.0
