llm,condition,tunnel_id,family_alternated_continuous_complex,family_regular_all_vs_complex,schema,class_name,iou
gpt5.4,memory,5-2,complex,complex,7,B2-block,0.0
gpt5.4,memory,5-3,complex,complex,7,Background,0.397
gpt5.4,memory,5-3,complex,complex,7,K-block,0.059
gpt5.4,memory,5-3,complex,complex,7,B1-block,0.0
gpt5.4,memory,5-3,complex,complex,7,A1-block,0.0
gpt5.4,memory,5-3,complex,complex,7,A2-block,0.057
gpt5.4,memory,5-3,complex,complex,7,A3-block,0.093
gpt5.4,memory,5-3,complex,complex,7,A4-block,0.011
gpt5.4,memory,5-3,complex,complex,7,B2-block,0.0
gpt5.4,memory,5-4,complex,complex,7,Background,0.371
gpt5.4,memory,5-4,complex,complex,7,K-block,0.152
gpt5.4,memory,5-4,complex,complex,7,B1-block,0.0
gpt5.4,memory,5-4,complex,complex,7,A1-block,0.001
gpt5.4,memory,5-4,complex,complex,7,A2-block,0.001
gpt5.4,memory,5-4,complex,complex,7,A3-block,0.0
gpt5.4,memory,5-4,complex,complex,7,A4-block,0.035
gpt5.4,memory,5-4,complex,complex,7,B2-block,0.0
gpt5.4,memory,5-5,complex,complex,7,Background,0.334
gpt5.4,memory,5-5,complex,complex,7,K-block,0.056
gpt5.4,memory,5-5,complex,complex,7,B1-block,0.0
gpt5.4,memory,5-5,complex,complex,7,A1-block,0.001
gpt5.4,memory,5-5,complex,complex,7,A2-block,0.003
gpt5.4,memory,5-5,complex,complex,7,A3-block,0.002
gpt5.4,memory,5-5,complex,complex,7,A4-block,0.017
gpt5.4,memory,5-5,complex,complex,7,B2-block,0.0
gpt5.4,memory,5-6,complex,complex,7,Background,0.391
gpt5.4,memory,5-6,complex,complex,7,K-block,0.062
gpt5.4,memory,5-6,complex,complex,7,B1-block,0.0
gpt5.4,memory,5-6,complex,complex,7,A1-block,0.0
gpt5.4,memory,5-6,complex,complex,7,A2-block,0.012
gpt5.4,memory,5-6,complex,complex,7,A3-block,0.065
gpt5.4,memory,5-6,complex,complex,7,A4-block,0.118
gpt5.4,memory,5-6,complex,complex,7,B2-block,0.0
gpt5.4,memory,5-7,complex,complex,7,Background,0.418
gpt5.4,memory,5-7,complex,complex,7,K-block,0.124
gpt5.4,memory,5-7,complex,complex,7,B1-block,0.027
gpt5.4,memory,5-7,complex,complex,7,A1-block,0.0
gpt5.4,memory,5-7,complex,complex,7,A2-block,0.061
gpt5.4,memory,5-7,complex,complex,7,A3-block,0.093
gpt5.4,memory,5-7,complex,complex,7,A4-block,0.177
gpt5.4,memory,5-7,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,1-1,alternated,regular_all,6,Background,0.781
gpt5.4,memory+state,1-1,alternated,regular_all,6,K-block,0.475
gpt5.4,memory+state,1-1,alternated,regular_all,6,B1-block,0.666
gpt5.4,memory+state,1-1,alternated,regular_all,6,A1-block,0.666
gpt5.4,memory+state,1-1,alternated,regular_all,6,A2-block,0.518
gpt5.4,memory+state,1-1,alternated,regular_all,6,A3-block,0.64
gpt5.4,memory+state,1-1,alternated,regular_all,6,B2-block,0.671
gpt5.4,memory+state,1-2,alternated,regular_all,6,Background,0.797
gpt5.4,memory+state,1-2,alternated,regular_all,6,K-block,0.47
gpt5.4,memory+state,1-2,alternated,regular_all,6,B1-block,0.626
gpt5.4,memory+state,1-2,alternated,regular_all,6,A1-block,0.709
gpt5.4,memory+state,1-2,alternated,regular_all,6,A2-block,0.364
gpt5.4,memory+state,1-2,alternated,regular_all,6,A3-block,0.67
gpt5.4,memory+state,1-2,alternated,regular_all,6,B2-block,0.66
gpt5.4,memory+state,1-3,alternated,regular_all,6,Background,0.766
gpt5.4,memory+state,1-3,alternated,regular_all,6,K-block,0.294
gpt5.4,memory+state,1-3,alternated,regular_all,6,B1-block,0.54
gpt5.4,memory+state,1-3,alternated,regular_all,6,A1-block,0.618
gpt5.4,memory+state,1-3,alternated,regular_all,6,A2-block,0.37
gpt5.4,memory+state,1-3,alternated,regular_all,6,A3-block,0.634
gpt5.4,memory+state,1-3,alternated,regular_all,6,B2-block,0.636
gpt5.4,memory+state,1-4,alternated,regular_all,6,Background,0.652
gpt5.4,memory+state,1-4,alternated,regular_all,6,K-block,0.133
gpt5.4,memory+state,1-4,alternated,regular_all,6,B1-block,0.384
gpt5.4,memory+state,1-4,alternated,regular_all,6,A1-block,0.352
gpt5.4,memory+state,1-4,alternated,regular_all,6,A2-block,0.211
gpt5.4,memory+state,1-4,alternated,regular_all,6,A3-block,0.415
gpt5.4,memory+state,1-4,alternated,regular_all,6,B2-block,0.316
gpt5.4,memory+state,1-5,alternated,regular_all,6,Background,0.767
gpt5.4,memory+state,1-5,alternated,regular_all,6,K-block,0.483
gpt5.4,memory+state,1-5,alternated,regular_all,6,B1-block,0.683
gpt5.4,memory+state,1-5,alternated,regular_all,6,A1-block,0.684
gpt5.4,memory+state,1-5,alternated,regular_all,6,A2-block,0.665
gpt5.4,memory+state,1-5,alternated,regular_all,6,A3-block,0.647
gpt5.4,memory+state,1-5,alternated,regular_all,6,B2-block,0.722
gpt5.4,memory+state,2-1,alternated,regular_all,6,Background,0.816
gpt5.4,memory+state,2-1,alternated,regular_all,6,K-block,0.523
gpt5.4,memory+state,2-1,alternated,regular_all,6,B1-block,0.725
gpt5.4,memory+state,2-1,alternated,regular_all,6,A1-block,0.717
gpt5.4,memory+state,2-1,alternated,regular_all,6,A2-block,0.37
gpt5.4,memory+state,2-1,alternated,regular_all,6,A3-block,0.727
gpt5.4,memory+state,2-1,alternated,regular_all,6,B2-block,0.706
gpt5.4,memory+state,2-2,alternated,regular_all,6,Background,0.827
gpt5.4,memory+state,2-2,alternated,regular_all,6,K-block,0.511
gpt5.4,memory+state,2-2,alternated,regular_all,6,B1-block,0.723
gpt5.4,memory+state,2-2,alternated,regular_all,6,A1-block,0.705
gpt5.4,memory+state,2-2,alternated,regular_all,6,A2-block,0.478
gpt5.4,memory+state,2-2,alternated,regular_all,6,A3-block,0.727
gpt5.4,memory+state,2-2,alternated,regular_all,6,B2-block,0.721
gpt5.4,memory+state,2-3,alternated,regular_all,6,Background,0.737
gpt5.4,memory+state,2-3,alternated,regular_all,6,K-block,0.44
gpt5.4,memory+state,2-3,alternated,regular_all,6,B1-block,0.666
gpt5.4,memory+state,2-3,alternated,regular_all,6,A1-block,0.688
gpt5.4,memory+state,2-3,alternated,regular_all,6,A2-block,0.333
gpt5.4,memory+state,2-3,alternated,regular_all,6,A3-block,0.673
gpt5.4,memory+state,2-3,alternated,regular_all,6,B2-block,0.688
gpt5.4,memory+state,2-4,alternated,regular_all,6,Background,0.767
gpt5.4,memory+state,2-4,alternated,regular_all,6,K-block,0.473
gpt5.4,memory+state,2-4,alternated,regular_all,6,B1-block,0.717
gpt5.4,memory+state,2-4,alternated,regular_all,6,A1-block,0.661
gpt5.4,memory+state,2-4,alternated,regular_all,6,A2-block,0.477
gpt5.4,memory+state,2-4,alternated,regular_all,6,A3-block,0.714
gpt5.4,memory+state,2-4,alternated,regular_all,6,B2-block,0.706
gpt5.4,memory+state,2-5,alternated,regular_all,6,Background,0.825
gpt5.4,memory+state,2-5,alternated,regular_all,6,K-block,0.535
gpt5.4,memory+state,2-5,alternated,regular_all,6,B1-block,0.72
gpt5.4,memory+state,2-5,alternated,regular_all,6,A1-block,0.737
gpt5.4,memory+state,2-5,alternated,regular_all,6,A2-block,0.525
gpt5.4,memory+state,2-5,alternated,regular_all,6,A3-block,0.718
gpt5.4,memory+state,2-5,alternated,regular_all,6,B2-block,0.756
gpt5.4,memory+state,3-1-1,continuous,regular_all,6,Background,0.645
gpt5.4,memory+state,3-1-1,continuous,regular_all,6,K-block,0.274
gpt5.4,memory+state,3-1-1,continuous,regular_all,6,B1-block,0.579
gpt5.4,memory+state,3-1-1,continuous,regular_all,6,A1-block,0.587
gpt5.4,memory+state,3-1-1,continuous,regular_all,6,A2-block,0.056
gpt5.4,memory+state,3-1-1,continuous,regular_all,6,A3-block,0.416
gpt5.4,memory+state,3-1-1,continuous,regular_all,6,B2-block,0.424
gpt5.4,memory+state,3-1-2,continuous,regular_all,6,Background,0.424
gpt5.4,memory+state,3-1-2,continuous,regular_all,6,K-block,0.036
gpt5.4,memory+state,3-1-2,continuous,regular_all,6,B1-block,0.124
gpt5.4,memory+state,3-1-2,continuous,regular_all,6,A1-block,0.113
gpt5.4,memory+state,3-1-2,continuous,regular_all,6,A2-block,0.142
gpt5.4,memory+state,3-1-2,continuous,regular_all,6,A3-block,0.026
gpt5.4,memory+state,3-1-2,continuous,regular_all,6,B2-block,0.051
gpt5.4,memory+state,3-1-3,continuous,regular_all,6,Background,0.603
gpt5.4,memory+state,3-1-3,continuous,regular_all,6,K-block,0.379
gpt5.4,memory+state,3-1-3,continuous,regular_all,6,B1-block,0.149
gpt5.4,memory+state,3-1-3,continuous,regular_all,6,A1-block,0.146
gpt5.4,memory+state,3-1-3,continuous,regular_all,6,A2-block,0.0
gpt5.4,memory+state,3-1-3,continuous,regular_all,6,A3-block,0.077
gpt5.4,memory+state,3-1-3,continuous,regular_all,6,B2-block,0.116
gpt5.4,memory+state,4-1,complex,complex,7,Background,0.78
gpt5.4,memory+state,4-1,complex,complex,7,K-block,0.111
gpt5.4,memory+state,4-1,complex,complex,7,B1-block,0.025
gpt5.4,memory+state,4-1,complex,complex,7,A1-block,0.147
gpt5.4,memory+state,4-1,complex,complex,7,A2-block,0.07
gpt5.4,memory+state,4-1,complex,complex,7,A3-block,0.083
gpt5.4,memory+state,4-1,complex,complex,7,A4-block,0.032
gpt5.4,memory+state,4-1,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,4-10,complex,complex,7,Background,0.452
gpt5.4,memory+state,4-10,complex,complex,7,K-block,0.146
gpt5.4,memory+state,4-10,complex,complex,7,B1-block,0.0
gpt5.4,memory+state,4-10,complex,complex,7,A1-block,0.0
gpt5.4,memory+state,4-10,complex,complex,7,A2-block,0.088
gpt5.4,memory+state,4-10,complex,complex,7,A3-block,0.192
gpt5.4,memory+state,4-10,complex,complex,7,A4-block,0.098
gpt5.4,memory+state,4-10,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,4-2,complex,complex,7,Background,0.47
gpt5.4,memory+state,4-2,complex,complex,7,K-block,0.106
gpt5.4,memory+state,4-2,complex,complex,7,B1-block,0.0
gpt5.4,memory+state,4-2,complex,complex,7,A1-block,0.0
gpt5.4,memory+state,4-2,complex,complex,7,A2-block,0.012
gpt5.4,memory+state,4-2,complex,complex,7,A3-block,0.159
gpt5.4,memory+state,4-2,complex,complex,7,A4-block,0.183
gpt5.4,memory+state,4-2,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,4-3,complex,complex,7,Background,0.431
gpt5.4,memory+state,4-3,complex,complex,7,K-block,0.105
gpt5.4,memory+state,4-3,complex,complex,7,B1-block,0.004
gpt5.4,memory+state,4-3,complex,complex,7,A1-block,0.0
gpt5.4,memory+state,4-3,complex,complex,7,A2-block,0.001
gpt5.4,memory+state,4-3,complex,complex,7,A3-block,0.167
gpt5.4,memory+state,4-3,complex,complex,7,A4-block,0.106
gpt5.4,memory+state,4-3,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,4-4,complex,complex,7,Background,0.489
gpt5.4,memory+state,4-4,complex,complex,7,K-block,0.131
gpt5.4,memory+state,4-4,complex,complex,7,B1-block,0.001
gpt5.4,memory+state,4-4,complex,complex,7,A1-block,0.002
gpt5.4,memory+state,4-4,complex,complex,7,A2-block,0.011
gpt5.4,memory+state,4-4,complex,complex,7,A3-block,0.186
gpt5.4,memory+state,4-4,complex,complex,7,A4-block,0.137
gpt5.4,memory+state,4-4,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,4-5,complex,complex,7,Background,0.613
gpt5.4,memory+state,4-5,complex,complex,7,K-block,0.03
gpt5.4,memory+state,4-5,complex,complex,7,B1-block,0.07
gpt5.4,memory+state,4-5,complex,complex,7,A1-block,0.057
gpt5.4,memory+state,4-5,complex,complex,7,A2-block,0.273
gpt5.4,memory+state,4-5,complex,complex,7,A3-block,0.068
gpt5.4,memory+state,4-5,complex,complex,7,A4-block,0.029
gpt5.4,memory+state,4-5,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,4-6,complex,complex,7,Background,0.467
gpt5.4,memory+state,4-6,complex,complex,7,K-block,0.154
gpt5.4,memory+state,4-6,complex,complex,7,B1-block,0.0
gpt5.4,memory+state,4-6,complex,complex,7,A1-block,0.0
gpt5.4,memory+state,4-6,complex,complex,7,A2-block,0.027
gpt5.4,memory+state,4-6,complex,complex,7,A3-block,0.044
gpt5.4,memory+state,4-6,complex,complex,7,A4-block,0.083
gpt5.4,memory+state,4-6,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,4-7,complex,complex,7,Background,0.464
gpt5.4,memory+state,4-7,complex,complex,7,K-block,0.153
gpt5.4,memory+state,4-7,complex,complex,7,B1-block,0.014
gpt5.4,memory+state,4-7,complex,complex,7,A1-block,0.0
gpt5.4,memory+state,4-7,complex,complex,7,A2-block,0.0
gpt5.4,memory+state,4-7,complex,complex,7,A3-block,0.177
gpt5.4,memory+state,4-7,complex,complex,7,A4-block,0.203
gpt5.4,memory+state,4-7,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,4-8,complex,complex,7,Background,0.402
gpt5.4,memory+state,4-8,complex,complex,7,K-block,0.118
gpt5.4,memory+state,4-8,complex,complex,7,B1-block,0.0
gpt5.4,memory+state,4-8,complex,complex,7,A1-block,0.0
gpt5.4,memory+state,4-8,complex,complex,7,A2-block,0.0
gpt5.4,memory+state,4-8,complex,complex,7,A3-block,0.13
gpt5.4,memory+state,4-8,complex,complex,7,A4-block,0.119
gpt5.4,memory+state,4-8,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,4-9,complex,complex,7,Background,0.651
gpt5.4,memory+state,4-9,complex,complex,7,K-block,0.182
gpt5.4,memory+state,4-9,complex,complex,7,B1-block,0.047
gpt5.4,memory+state,4-9,complex,complex,7,A1-block,0.131
gpt5.4,memory+state,4-9,complex,complex,7,A2-block,0.148
gpt5.4,memory+state,4-9,complex,complex,7,A3-block,0.016
gpt5.4,memory+state,4-9,complex,complex,7,A4-block,0.04
gpt5.4,memory+state,4-9,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,5-1,complex,complex,7,Background,0.43
gpt5.4,memory+state,5-1,complex,complex,7,K-block,0.121
gpt5.4,memory+state,5-1,complex,complex,7,B1-block,0.021
gpt5.4,memory+state,5-1,complex,complex,7,A1-block,0.0
gpt5.4,memory+state,5-1,complex,complex,7,A2-block,0.0
gpt5.4,memory+state,5-1,complex,complex,7,A3-block,0.067
gpt5.4,memory+state,5-1,complex,complex,7,A4-block,0.14
gpt5.4,memory+state,5-1,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,5-2,complex,complex,7,Background,0.433
gpt5.4,memory+state,5-2,complex,complex,7,K-block,0.104
gpt5.4,memory+state,5-2,complex,complex,7,B1-block,0.0
gpt5.4,memory+state,5-2,complex,complex,7,A1-block,0.0
gpt5.4,memory+state,5-2,complex,complex,7,A2-block,0.0
gpt5.4,memory+state,5-2,complex,complex,7,A3-block,0.143
gpt5.4,memory+state,5-2,complex,complex,7,A4-block,0.104
gpt5.4,memory+state,5-2,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,5-3,complex,complex,7,Background,0.494
gpt5.4,memory+state,5-3,complex,complex,7,K-block,0.136
gpt5.4,memory+state,5-3,complex,complex,7,B1-block,0.01
gpt5.4,memory+state,5-3,complex,complex,7,A1-block,0.003
gpt5.4,memory+state,5-3,complex,complex,7,A2-block,0.001
gpt5.4,memory+state,5-3,complex,complex,7,A3-block,0.106
gpt5.4,memory+state,5-3,complex,complex,7,A4-block,0.094
gpt5.4,memory+state,5-3,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,5-4,complex,complex,7,Background,0.474
gpt5.4,memory+state,5-4,complex,complex,7,K-block,0.113
gpt5.4,memory+state,5-4,complex,complex,7,B1-block,0.004
gpt5.4,memory+state,5-4,complex,complex,7,A1-block,0.0
gpt5.4,memory+state,5-4,complex,complex,7,A2-block,0.003
gpt5.4,memory+state,5-4,complex,complex,7,A3-block,0.116
gpt5.4,memory+state,5-4,complex,complex,7,A4-block,0.059
gpt5.4,memory+state,5-4,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,5-5,complex,complex,7,Background,0.636
gpt5.4,memory+state,5-5,complex,complex,7,K-block,0.158
gpt5.4,memory+state,5-5,complex,complex,7,B1-block,0.13
gpt5.4,memory+state,5-5,complex,complex,7,A1-block,0.144
gpt5.4,memory+state,5-5,complex,complex,7,A2-block,0.271
gpt5.4,memory+state,5-5,complex,complex,7,A3-block,0.045
gpt5.4,memory+state,5-5,complex,complex,7,A4-block,0.058
gpt5.4,memory+state,5-5,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,5-6,complex,complex,7,Background,0.656
gpt5.4,memory+state,5-6,complex,complex,7,K-block,0.121
gpt5.4,memory+state,5-6,complex,complex,7,B1-block,0.154
gpt5.4,memory+state,5-6,complex,complex,7,A1-block,0.104
gpt5.4,memory+state,5-6,complex,complex,7,A2-block,0.051
gpt5.4,memory+state,5-6,complex,complex,7,A3-block,0.12
gpt5.4,memory+state,5-6,complex,complex,7,A4-block,0.142
gpt5.4,memory+state,5-6,complex,complex,7,B2-block,0.0
gpt5.4,memory+state,5-7,complex,complex,7,Background,0.527
gpt5.4,memory+state,5-7,complex,complex,7,K-block,0.126
gpt5.4,memory+state,5-7,complex,complex,7,B1-block,0.421
gpt5.4,memory+state,5-7,complex,complex,7,A1-block,0.0
gpt5.4,memory+state,5-7,complex,complex,7,A2-block,0.052
gpt5.4,memory+state,5-7,complex,complex,7,A3-block,0.212
gpt5.4,memory+state,5-7,complex,complex,7,A4-block,0.01
gpt5.4,memory+state,5-7,complex,complex,7,B2-block,0.0
gpt5.4,memory+state+knowledge,1-1,alternated,regular_all,6,Background,0.788
gpt5.4,memory+state+knowledge,1-1,alternated,regular_all,6,K-block,0.452
gpt5.4,memory+state+knowledge,1-1,alternated,regular_all,6,B1-block,0.647
gpt5.4,memory+state+knowledge,1-1,alternated,regular_all,6,A1-block,0.693
gpt5.4,memory+state+knowledge,1-1,alternated,regular_all,6,A2-block,0.447
gpt5.4,memory+state+knowledge,1-1,alternated,regular_all,6,A3-block,0.65
gpt5.4,memory+state+knowledge,1-1,alternated,regular_all,6,B2-block,0.654
gpt5.4,memory+state+knowledge,1-2,alternated,regular_all,6,Background,0.799
gpt5.4,memory+state+knowledge,1-2,alternated,regular_all,6,K-block,0.464
gpt5.4,memory+state+knowledge,1-2,alternated,regular_all,6,B1-block,0.639
gpt5.4,memory+state+knowledge,1-2,alternated,regular_all,6,A1-block,0.714
gpt5.4,memory+state+knowledge,1-2,alternated,regular_all,6,A2-block,0.363
gpt5.4,memory+state+knowledge,1-2,alternated,regular_all,6,A3-block,0.676
gpt5.4,memory+state+knowledge,1-2,alternated,regular_all,6,B2-block,0.679
gpt5.4,memory+state+knowledge,1-3,alternated,regular_all,6,Background,0.79
gpt5.4,memory+state+knowledge,1-3,alternated,regular_all,6,K-block,0.284
gpt5.4,memory+state+knowledge,1-3,alternated,regular_all,6,B1-block,0.553
gpt5.4,memory+state+knowledge,1-3,alternated,regular_all,6,A1-block,0.619
gpt5.4,memory+state+knowledge,1-3,alternated,regular_all,6,A2-block,0.357
gpt5.4,memory+state+knowledge,1-3,alternated,regular_all,6,A3-block,0.63
gpt5.4,memory+state+knowledge,1-3,alternated,regular_all,6,B2-block,0.643
gpt5.4,memory+state+knowledge,1-4,alternated,regular_all,6,Background,0.763
gpt5.4,memory+state+knowledge,1-4,alternated,regular_all,6,K-block,0.109
gpt5.4,memory+state+knowledge,1-4,alternated,regular_all,6,B1-block,0.444
gpt5.4,memory+state+knowledge,1-4,alternated,regular_all,6,A1-block,0.456
gpt5.4,memory+state+knowledge,1-4,alternated,regular_all,6,A2-block,0.306
gpt5.4,memory+state+knowledge,1-4,alternated,regular_all,6,A3-block,0.547
gpt5.4,memory+state+knowledge,1-4,alternated,regular_all,6,B2-block,0.363
gpt5.4,memory+state+knowledge,1-5,alternated,regular_all,6,Background,0.77
gpt5.4,memory+state+knowledge,1-5,alternated,regular_all,6,K-block,0.45
gpt5.4,memory+state+knowledge,1-5,alternated,regular_all,6,B1-block,0.631
gpt5.4,memory+state+knowledge,1-5,alternated,regular_all,6,A1-block,0.65
gpt5.4,memory+state+knowledge,1-5,alternated,regular_all,6,A2-block,0.62
gpt5.4,memory+state+knowledge,1-5,alternated,regular_all,6,A3-block,0.627
gpt5.4,memory+state+knowledge,1-5,alternated,regular_all,6,B2-block,0.727
gpt5.4,memory+state+knowledge,2-1,alternated,regular_all,6,Background,0.805
gpt5.4,memory+state+knowledge,2-1,alternated,regular_all,6,K-block,0.566
gpt5.4,memory+state+knowledge,2-1,alternated,regular_all,6,B1-block,0.717
gpt5.4,memory+state+knowledge,2-1,alternated,regular_all,6,A1-block,0.733
gpt5.4,memory+state+knowledge,2-1,alternated,regular_all,6,A2-block,0.426
gpt5.4,memory+state+knowledge,2-1,alternated,regular_all,6,A3-block,0.697
gpt5.4,memory+state+knowledge,2-1,alternated,regular_all,6,B2-block,0.738
gpt5.4,memory+state+knowledge,2-2,alternated,regular_all,6,Background,0.81
gpt5.4,memory+state+knowledge,2-2,alternated,regular_all,6,K-block,0.496
gpt5.4,memory+state+knowledge,2-2,alternated,regular_all,6,B1-block,0.688
gpt5.4,memory+state+knowledge,2-2,alternated,regular_all,6,A1-block,0.727
gpt5.4,memory+state+knowledge,2-2,alternated,regular_all,6,A2-block,0.451
gpt5.4,memory+state+knowledge,2-2,alternated,regular_all,6,A3-block,0.706
gpt5.4,memory+state+knowledge,2-2,alternated,regular_all,6,B2-block,0.726
gpt5.4,memory+state+knowledge,2-3,alternated,regular_all,6,Background,0.761
gpt5.4,memory+state+knowledge,2-3,alternated,regular_all,6,K-block,0.476
gpt5.4,memory+state+knowledge,2-3,alternated,regular_all,6,B1-block,0.617
gpt5.4,memory+state+knowledge,2-3,alternated,regular_all,6,A1-block,0.675
gpt5.4,memory+state+knowledge,2-3,alternated,regular_all,6,A2-block,0.302
gpt5.4,memory+state+knowledge,2-3,alternated,regular_all,6,A3-block,0.631
gpt5.4,memory+state+knowledge,2-3,alternated,regular_all,6,B2-block,0.648
gpt5.4,memory+state+knowledge,2-4,alternated,regular_all,6,Background,0.711
gpt5.4,memory+state+knowledge,2-4,alternated,regular_all,6,K-block,0.481
gpt5.4,memory+state+knowledge,2-4,alternated,regular_all,6,B1-block,0.686
gpt5.4,memory+state+knowledge,2-4,alternated,regular_all,6,A1-block,0.647
gpt5.4,memory+state+knowledge,2-4,alternated,regular_all,6,A2-block,0.435
gpt5.4,memory+state+knowledge,2-4,alternated,regular_all,6,A3-block,0.697
gpt5.4,memory+state+knowledge,2-4,alternated,regular_all,6,B2-block,0.67
gpt5.4,memory+state+knowledge,2-5,alternated,regular_all,6,Background,0.797
gpt5.4,memory+state+knowledge,2-5,alternated,regular_all,6,K-block,0.388
gpt5.4,memory+state+knowledge,2-5,alternated,regular_all,6,B1-block,0.658
gpt5.4,memory+state+knowledge,2-5,alternated,regular_all,6,A1-block,0.646
gpt5.4,memory+state+knowledge,2-5,alternated,regular_all,6,A2-block,0.439
gpt5.4,memory+state+knowledge,2-5,alternated,regular_all,6,A3-block,0.582
gpt5.4,memory+state+knowledge,2-5,alternated,regular_all,6,B2-block,0.672
gpt5.4,memory+state+knowledge,3-1-1,continuous,regular_all,6,Background,0.762
gpt5.4,memory+state+knowledge,3-1-1,continuous,regular_all,6,K-block,0.0
gpt5.4,memory+state+knowledge,3-1-1,continuous,regular_all,6,B1-block,0.0
gpt5.4,memory+state+knowledge,3-1-1,continuous,regular_all,6,A1-block,0.0
gpt5.4,memory+state+knowledge,3-1-1,continuous,regular_all,6,A2-block,0.014
gpt5.4,memory+state+knowledge,3-1-1,continuous,regular_all,6,A3-block,0.0
gpt5.4,memory+state+knowledge,3-1-1,continuous,regular_all,6,B2-block,0.0
gpt5.4,memory+state+knowledge,3-1-2,continuous,regular_all,6,Background,0.532
gpt5.4,memory+state+knowledge,3-1-2,continuous,regular_all,6,K-block,0.108
gpt5.4,memory+state+knowledge,3-1-2,continuous,regular_all,6,B1-block,0.284
gpt5.4,memory+state+knowledge,3-1-2,continuous,regular_all,6,A1-block,0.315
gpt5.4,memory+state+knowledge,3-1-2,continuous,regular_all,6,A2-block,0.109
gpt5.4,memory+state+knowledge,3-1-2,continuous,regular_all,6,A3-block,0.216
gpt5.4,memory+state+knowledge,3-1-2,continuous,regular_all,6,B2-block,0.22
gpt5.4,memory+state+knowledge,3-1-3,continuous,regular_all,6,Background,0.577
gpt5.4,memory+state+knowledge,3-1-3,continuous,regular_all,6,K-block,0.0
gpt5.4,memory+state+knowledge,3-1-3,continuous,regular_all,6,B1-block,0.144
gpt5.4,memory+state+knowledge,3-1-3,continuous,regular_all,6,A1-block,0.183
gpt5.4,memory+state+knowledge,3-1-3,continuous,regular_all,6,A2-block,0.293
gpt5.4,memory+state+knowledge,3-1-3,continuous,regular_all,6,A3-block,0.286
gpt5.4,memory+state+knowledge,3-1-3,continuous,regular_all,6,B2-block,0.284
gpt5.4,memory+state+knowledge,4-1,complex,complex,7,Background,0.613
gpt5.4,memory+state+knowledge,4-1,complex,complex,7,K-block,0.024
gpt5.4,memory+state+knowledge,4-1,complex,complex,7,B1-block,0.151
gpt5.4,memory+state+knowledge,4-1,complex,complex,7,A1-block,0.162
gpt5.4,memory+state+knowledge,4-1,complex,complex,7,A2-block,0.165
gpt5.4,memory+state+knowledge,4-1,complex,complex,7,A3-block,0.161
gpt5.4,memory+state+knowledge,4-1,complex,complex,7,A4-block,0.168
gpt5.4,memory+state+knowledge,4-1,complex,complex,7,B2-block,0.121
gpt5.4,memory+state+knowledge,4-10,complex,complex,7,Background,0.783
gpt5.4,memory+state+knowledge,4-10,complex,complex,7,K-block,0.0
gpt5.4,memory+state+knowledge,4-10,complex,complex,7,B1-block,0.083
gpt5.4,memory+state+knowledge,4-10,complex,complex,7,A1-block,0.127
gpt5.4,memory+state+knowledge,4-10,complex,complex,7,A2-block,0.105
gpt5.4,memory+state+knowledge,4-10,complex,complex,7,A3-block,0.167
gpt5.4,memory+state+knowledge,4-10,complex,complex,7,A4-block,0.236
gpt5.4,memory+state+knowledge,4-10,complex,complex,7,B2-block,0.221
gpt5.4,memory+state+knowledge,4-2,complex,complex,7,Background,0.404
gpt5.4,memory+state+knowledge,4-2,complex,complex,7,K-block,0.427
gpt5.4,memory+state+knowledge,4-2,complex,complex,7,B1-block,0.0
gpt5.4,memory+state+knowledge,4-2,complex,complex,7,A1-block,0.227
gpt5.4,memory+state+knowledge,4-2,complex,complex,7,A2-block,0.151
gpt5.4,memory+state+knowledge,4-2,complex,complex,7,A3-block,0.079
gpt5.4,memory+state+knowledge,4-2,complex,complex,7,A4-block,0.002
gpt5.4,memory+state+knowledge,4-2,complex,complex,7,B2-block,0.0
gpt5.4,memory+state+knowledge,4-3,complex,complex,7,Background,0.775
gpt5.4,memory+state+knowledge,4-3,complex,complex,7,K-block,0.0
gpt5.4,memory+state+knowledge,4-3,complex,complex,7,B1-block,0.063
gpt5.4,memory+state+knowledge,4-3,complex,complex,7,A1-block,0.167
gpt5.4,memory+state+knowledge,4-3,complex,complex,7,A2-block,0.264
gpt5.4,memory+state+knowledge,4-3,complex,complex,7,A3-block,0.266
gpt5.4,memory+state+knowledge,4-3,complex,complex,7,A4-block,0.33
gpt5.4,memory+state+knowledge,4-3,complex,complex,7,B2-block,0.349
gpt5.4,memory+state+knowledge,4-4,complex,complex,7,Background,0.397
