ring_id,experience_id,trial_kind,label_gt_miou,layout_k_width_norm,form_segment_coverage_pct,form_arc_width_entropy,layout_hough_oblique_threshold,layout_line_merge_distance
1-5/r271,v5:1-5/r271:t014,perturb_offset_shift,0.3655226489941572,0.7737484965390855,100.0,1.6346769768346228,37.0,3.0
1-5/r271,v5:1-5/r271:t051,bo,0.3540798693015825,0.8188888811237861,100.0,1.714786842239268,75.0,11.9015
4-1/r116,v5:4-1/r116:t015,perturb_ambiguous_lines,0.9030603079594456,0.8430356069838869,100.0,1.944966251568021,37.0,10.7641
4-1/r116,v5:4-1/r116:t020,perturb_weak_hough,0.9030603079594456,0.8430356069838869,100.0,1.944966251568021,85.0,3.0
4-1/r116,v5:4-1/r116:t016,perturb_wrong_r_high,0.898812218196726,0.8430356069838869,100.0,1.944966251568021,37.0,3.0
4-1/r116,v5:4-1/r116:t013,perturb_wrong_r_low,0.8568566859765132,0.8430356069838869,100.0,1.944966251568021,37.0,3.0
4-1/r116,v5:4-1/r116:t023,perturb_wrong_r_low,0.8568566859765132,0.8430356069838869,100.0,1.944966251568021,37.0,3.0
4-1/r116,v5:4-1/r116:t019,perturb_misaligned,0.6229555809363541,0.8690859154976217,100.00000000000004,1.943292579210056,37.0,3.0
4-1/r116,v5:4-1/r116:t029,bo,0.3870430540439587,0.3797646812080102,100.0,1.8967631241699527,76.0,4.116
4-1/r116,v5:4-1/r116:t032,bo,0.3752511412148801,0.344241813201591,100.0,1.732414508787551,71.0,8.5063
4-1/r116,v5:4-1/r116:t034,bo,0.3371609527300314,0.897889249906448,100.0,1.8608860847696207,15.0,10.234
4-1/r116,v5:4-1/r116:t005,random,0.3017260119468371,0.6397171669425262,100.0,1.7352813753567915,42.0,1.6518
4-6/r283,v5:4-6/r283:t032,perturb_ambiguous_lines,0.8267842176883957,0.0496763150155393,100.0,1.900203678233397,37.0,10.5774
4-6/r283,v5:4-6/r283:t028,perturb_weak_hough,0.8267842176883957,0.0496763150155393,100.0,1.900203678233397,89.0,3.0
4-6/r283,v5:4-6/r283:t042,perturb_ambiguous_lines,0.8267842176883957,0.0496763150155393,100.0,1.900203678233397,37.0,10.5774
4-6/r283,v5:4-6/r283:t038,perturb_weak_hough,0.8267842176883957,0.0496763150155393,100.0,1.900203678233397,89.0,3.0
4-6/r283,v5:4-6/r283:t033,perturb_wrong_r_low,0.8122298393885681,0.0496763150155393,100.0,1.900203678233397,37.0,3.0
4-6/r283,v5:4-6/r283:t043,perturb_wrong_r_low,0.8122298393885681,0.0496763150155393,100.0,1.900203678233397,37.0,3.0
4-6/r283,v5:4-6/r283:t024,perturb_small_segment,0.7275774865857272,0.07,100.0,1.917651908306252,37.0,3.0
4-6/r283,v5:4-6/r283:t034,perturb_small_segment,0.7275774865857272,0.07,100.0,1.917651908306252,37.0,3.0
4-6/r283,v5:4-6/r283:t044,perturb_small_segment,0.7275774865857272,0.07,100.0,1.917651908306252,37.0,3.0
4-6/r283,v5:4-6/r283:t041,perturb_offset_shift,0.5393036279827339,0.0598450856286844,100.00000000000004,1.8122717842300964,37.0,3.0
4-6/r283,v5:4-6/r283:t031,perturb_offset_shift,0.5393036279827339,0.0598450856286844,100.00000000000004,1.8122717842300964,37.0,3.0
4-6/r283,v5:4-6/r283:t029,perturb_misaligned,0.3233155719637077,0.007434892866987,100.0,1.7607412058353098,37.0,3.0
4-6/r283,v5:4-6/r283:t039,perturb_misaligned,0.3233155719637077,0.007434892866987,100.0,1.7607412058353098,37.0,3.0
4-6/r283,v5:4-6/r283:t110,bo,0.3151050856714803,0.9972225822082506,100.0,1.8020267376310348,66.0,7.9638
4-6/r283,v5:4-6/r283:t052,bo,0.2985030249170635,0.90276610316668,100.0,1.7614979520392546,53.0,11.2031
4-6/r283,v5:4-6/r283:t036,perturb_wrong_r_high,0.2905361500535356,0.0496763150155393,100.0,1.900203678233397,37.0,3.0
4-6/r283,v5:4-6/r283:t046,perturb_wrong_r_high,0.2905361500535356,0.0496763150155393,100.0,1.900203678233397,37.0,3.0
4-6/r283,v5:4-6/r283:t026,perturb_wrong_r_high,0.2905361500535356,0.0496763150155393,100.0,1.900203678233397,37.0,3.0
4-6/r283,v5:4-6/r283:t112,bo,0.2679304276325793,0.9191467557793492,100.0,1.491456379548818,67.0,8.1938
4-6/r283,v5:4-6/r283:t118,bo,0.2640130701768356,0.1571520833717169,100.0,1.6033241295663714,43.0,6.2738
4-6/r283,v5:4-6/r283:t060,bo,0.2623843605094377,0.2388294116148825,100.0,1.6949710903741382,86.0,9.1275
4-6/r283,v5:4-6/r283:t090,bo,0.2563486950942475,0.0429467304372094,100.0,1.5478307517205163,18.0,7.2336
5-5/r258,v5:5-5/r258:t015,perturb_ambiguous_lines,0.8282975144376041,0.8415498231979534,100.0,1.9450152162052423,37.0,10.7641
5-5/r258,v5:5-5/r258:t020,perturb_weak_hough,0.8282975144376041,0.8415498231979534,100.0,1.9450152162052423,85.0,3.0
5-5/r258,v5:5-5/r258:t013,perturb_wrong_r_low,0.8216328539089897,0.8415498231979534,100.0,1.9450152162052423,37.0,3.0
5-5/r258,v5:5-5/r258:t023,perturb_wrong_r_low,0.8216328539089897,0.8415498231979534,100.0,1.9450152162052423,37.0,3.0
5-5/r258,v5:5-5/r258:t016,perturb_wrong_r_high,0.6633866502146644,0.8415498231979534,100.0,1.9450152162052423,37.0,3.0
5-5/r258,v5:5-5/r258:t019,perturb_misaligned,0.5485811664438232,0.8676001317116881,100.0,1.9433141293747391,37.0,3.0
5-5/r258,v5:5-5/r258:t025,bo,0.3387337454600235,0.7984450737937505,100.0,1.7524599961613685,32.0,7.5693
5-5/r258,v5:5-5/r258:t059,bo,0.2669110840144343,0.98006284120397,100.0,1.7536208478356423,82.0,10.1465
5-5/r258,v5:5-5/r258:t032,bo,0.2582927622178767,0.936649797480962,100.0,1.8328854162504744,71.0,10.6988
5-5/r258,v5:5-5/r258:t055,bo,0.2438193296609431,0.2601587339773267,100.0,1.7584547683345269,53.0,7.2742
