experience_id,experience_pool,source_type,trial_id,trial_kind,ring_id,ring_segment_count,ring_diversity_slot,ring_density_sparsity_slot,ring_tunnel_id,ring_tunnel_diameter_m,ring_ceiling_miou_ref,ring_depth_row_nonempty_ratio,ring_depth_col_nonempty_ratio,ring_depth_finite_ratio,ring_depth_coverage_ratio,ring_depth_blank_band_ratio,ring_image_height,ring_image_width,line_oblique_line_count,line_oblique_line_strength_pos,line_oblique_line_strength_neg,line_oblique_angle_consistency,line_horizontal_line_count,line_horizontal_spacing_consistency,line_detection_confidence_K,line_detection_confidence_AB,layout_k_center_norm,layout_k_center_norm_w,layout_k_width_norm,layout_k_width_norm_w,layout_ab_offset_norm_json,layout_arc_width_norm_json,layout_boundary_positions_norm_json,layout_segment_order_json,layout_hough_oblique_threshold,layout_hough_horizontal_threshold,layout_line_merge_distance,layout_line_snap_tolerance_px,layout_segmentation_slot_inset_y,layout_r_surface_min,layout_r_surface_min_frac,layout_order_branch,form_missing_block_hint,form_guardrail_violation_count,form_boundary_gap_norm,form_segment_coverage_pct,form_y_order_consistency,form_arc_width_entropy,form_mask_reclass_count,form_ready_for_segmentation,label_gt_miou,label_regret_vs_ceiling,label_agent_error,label_rank_within_ring,label_rank_within_ring_pool,label_success_flag,label_failure_flag
v3:1-5/r271:t010,v3,random,10,random,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,1.0,0.0037593984962406013,1.0,0.0,0.8728092085647743,11.339957236089699,0.5902909822897147,7.669344491703962,"{""K"": 0.0, ""B1"": 0.5902909822897147, ""A1"": 0.6836843733395436, ""A2"": 0.3554137770235121, ""A3"": 0.5190984864959901, ""B2"": 0.7652473832785226}","{""K"": 0.5902909822897147, ""B1"": 0.09339339104982897, ""A1"": 0.6717294036839684, ""A2"": 0.163684709472478, ""A3"": 0.2461488967825325, ""B2"": 0.2347526167214774}","[0.29514549114485733, 0.6369876778146292, 0.5195490751815278, 0.43725613175975114, 0.6421729348872562, 0.3826236916392613]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",83.0,27.0,11.2676,5.3884,18.8244,2.6154,0.810517,plus,1,1,0.07120949074074072,100.0,0.0,1.5838372349525842,0,False,0.2472363014914635,0.5913746294022582,False,60.0,21.0,1,1
v3:1-5/r271:t011,v3,random,11,random,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,2.0,0.007518796992481203,1.0,0.0,0.13676405154258153,1.776904368914142,0.8152562779950456,10.592201867484503,"{""K"": 0.0, ""B1"": 0.8152562779950456, ""A1"": 0.014271189684610608, ""A2"": 0.6284619478662908, ""A3"": 0.7930236580980341, ""B2"": 0.5130035828222085}","{""K"": 0.8152562779950456, ""B1"": 0.19901491168956495, ""A1"": 0.6141907581816802, ""A2"": 0.1645617102317433, ""A3"": 0.7199799247241744, ""B2"": 0.4869964171777915}","[0.4076281389975228, 0.41476373383982806, 0.32136656877545067, 0.7107428029821624, 0.6530136204601212, 0.25650179141110424]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",69.0,35.0,3.1837,32.2345,4.4852,2.2785,0.346089,plus,1,1,0.0142650462962963,100.0,0.0,1.655634448192509,0,False,0.2821454425258204,0.5913746294022582,False,40.0,15.0,1,1
v3:1-5/r271:t012,v3,random,12,perturb_wrong_r_low,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6250954666046669,8.121541099946349,0.7756856902451935,10.07808174995259,"{""K"": 0.0, ""B1"": 0.7756856902451935, ""A1"": 0.2252071899905919, ""A2"": 0.30016628491122543, ""A3"": 0.8735534453962619, ""B2"": 0.005265304565574724}","{""K"": 0.7756856902451935, ""B1"": 0.4495214997453984, ""A1"": 0.07495909492063356, ""A2"": 0.5733871604850364, ""A3"": 0.1317118591693129, ""B2"": 0.9947346954344253}","[0.38784284512259676, 0.5004464401178927, 0.26268673745090865, 0.5868598651537437, 0.4394093749809183, 0.002632652282787362]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",77.0,98.0,6.1473,27.7274,6.9606,2.0637,0.049979,plus,1,1,0.005266203703703649,100.0,0.0,1.5458869746539976,0,False,0.3037253705977418,0.5913746294022582,False,21.0,5.0,1,0
v3:1-5/r271:t013,v3,random,13,perturb_wrong_r_high,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6250954666046669,8.121541099946349,0.7756856902451935,10.07808174995259,"{""K"": 0.0, ""B1"": 0.7756856902451935, ""A1"": 0.2252071899905919, ""A2"": 0.30016628491122543, ""A3"": 0.8735534453962619, ""B2"": 0.005265304565574724}","{""K"": 0.7756856902451935, ""B1"": 0.4495214997453984, ""A1"": 0.07495909492063356, ""A2"": 0.5733871604850364, ""A3"": 0.1317118591693129, ""B2"": 0.9947346954344253}","[0.38784284512259676, 0.5004464401178927, 0.26268673745090865, 0.5868598651537437, 0.4394093749809183, 0.002632652282787362]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",77.0,98.0,6.1473,27.7274,6.9606,2.7166,0.950025,plus,1,1,0.005266203703703649,100.0,0.0,1.5458869746539976,0,False,0.303738657222794,0.591361342777206,False,18.0,3.0,1,0
v3:1-5/r271:t014,v3,random,14,perturb_offset_shift,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6250954666046669,8.121541099946349,0.7373020264261951,9.579382719281693,"{""K"": 0.0, ""B1"": 0.7373020264261951, ""A1"": 0.17037309874470033, ""A2"": 0.40865576268103077, ""A3"": 0.860228215711569, ""B2"": 0.1205600447769162}","{""K"": 0.7373020264261951, ""B1"": 0.4330710723185052, ""A1"": 0.23828266393633044, ""A2"": 0.45157245303053833, ""A3"": 0.2603318290653472, ""B2"": 0.8794399552230837}","[0.36865101321309757, 0.4538375625854477, 0.2895144307128656, 0.6344419891962999, 0.49039413024424267, 0.0602800223884581]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",77.0,98.0,6.1473,27.7274,6.9606,2.4726,0.613663,minus,1,1,0.04979745370370368,100.0,0.0,1.6823550711991344,0,False,0.2675364718277299,0.591361342777206,False,50.0,18.0,1,1
v3:1-5/r271:t015,v3,random,15,perturb_misaligned,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6379999248211186,8.289202030758593,0.7668836307055446,9.963721156835948,"{""K"": 0.0, ""B1"": 0.7668836307055446, ""A1"": 0.2705897331207855, ""A2"": 0.28956382290005206, ""A3"": 0.9242845945364779, ""B2"": 0.0}","{""K"": 0.7668836307055446, ""B1"": 0.5037061024152409, ""A1"": 0.01897408977926657, ""A2"": 0.6347207716364259, ""A3"": 0.07571540546352204, ""B2"": 0.0}","[0.3834418153527723, 0.5187366819131651, 0.2800767780104188, 0.606924208718265, 0.46214229726823897, 0.0]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",77.0,98.0,6.1473,27.7274,6.9606,2.4726,0.613663,minus,1,1,0.0,100.0,0.0,1.2472095291687142,0,False,0.2839557549512627,0.591361342777206,False,39.0,14.0,1,1
v3:1-5/r271:t016,v3,random,16,perturb_ambiguous_lines,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6250954666046669,8.121541099946349,0.7756856902451935,10.07808174995259,"{""K"": 0.0, ""B1"": 0.7756856902451935, ""A1"": 0.2252071899905919, ""A2"": 0.30016628491122543, ""A3"": 0.8735534453962619, ""B2"": 0.005265304565574724}","{""K"": 0.7756856902451935, ""B1"": 0.4495214997453984, ""A1"": 0.07495909492063356, ""A2"": 0.5733871604850364, ""A3"": 0.1317118591693129, ""B2"": 0.9947346954344253}","[0.38784284512259676, 0.5004464401178927, 0.26268673745090865, 0.5868598651537437, 0.4394093749809183, 0.002632652282787362]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",77.0,98.0,11.8293,77.1061,6.9606,2.4726,0.613663,plus,1,1,0.005266203703703649,100.0,0.0,1.5458869746539976,0,False,0.3037253705977418,0.591361342777206,False,21.0,5.0,1,0
v3:1-5/r271:t017,v3,random,17,perturb_small_segment,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6250954666046669,8.121541099946349,0.07,0.9094736842105263,"{""K"": 0.0, ""B1"": 0.07, ""A1"": 0.25, ""A2"": 0.43, ""A3"": 0.61, ""B2"": 0.79}","{""K"": 0.07, ""B1"": 0.17999999999999997, ""A1"": 0.17999999999999997, ""A2"": 0.17999999999999997, ""A3"": 0.1800000000000001, ""B2"": 0.20999999999999994}","[0.035, 0.16, 0.33999999999999997, 0.52, 0.7, 0.395]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",77.0,98.0,6.1473,27.7274,6.9606,2.4726,0.613663,plus,1,1,0.06999421296296286,100.0,0.0,1.748539097947062,0,False,0.3034021347892446,0.591361342777206,False,32.0,10.0,1,0
v3:1-5/r271:t018,v3,random,18,perturb_guardrail_smoke,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02,0.2598496240601504,0.5058544459633577,6.572304380636708,"{""K"": 0.0, ""B1"": 0.5058544459633577, ""A1"": 0.635281458674555, ""A2"": 0.4252997739994274, ""A3"": 0.5918117441786326, ""B2"": 0.552941359999578}","{""K"": 0.5058544459633577, ""B1"": 0.12942701271119722, ""A1"": 0.7900183153248724, ""A2"": 0.16651197017920516, ""A3"": 0.9611296158209455, ""B2"": 0.44705864000042195}","[0.25292722298167886, 0.5705679523189564, 0.5302906163369911, 0.5085557590890301, 0.5723765520891053, 0.276470679999789]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",77.0,98.0,6.1473,27.7274,6.9606,2.4726,0.613663,plus,1,1,0.03885995370370376,100.0,0.0,1.595979459695477,0,False,0.1240072228663178,0.591361342777206,False,161.0,54.0,0,1
v3:1-5/r271:t019,v3,random,19,perturb_weak_hough,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6250954666046669,8.121541099946349,0.7756856902451935,10.07808174995259,"{""K"": 0.0, ""B1"": 0.7756856902451935, ""A1"": 0.2252071899905919, ""A2"": 0.30016628491122543, ""A3"": 0.8735534453962619, ""B2"": 0.005265304565574724}","{""K"": 0.7756856902451935, ""B1"": 0.4495214997453984, ""A1"": 0.07495909492063356, ""A2"": 0.5733871604850364, ""A3"": 0.1317118591693129, ""B2"": 0.9947346954344253}","[0.38784284512259676, 0.5004464401178927, 0.26268673745090865, 0.5868598651537437, 0.4394093749809183, 0.002632652282787362]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",85.0,112.0,6.1473,27.7274,6.9606,2.4726,0.613663,plus,1,1,0.005266203703703649,100.0,0.0,1.5458869746539976,0,False,0.3037253705977418,0.591361342777206,False,21.0,5.0,1,0
