ring_key,split,pattern_type,bottom_baseline_miou,k_only_miou,k_plus_direction_miou,lift_k_only_minus_bottom,lift_direction_minus_bottom,lift_direction_minus_k_only,chosen_direction,direction_confidence,ontology_passed,n_pred_segments,plus_miou,minus_miou,plus_status,minus_status
4-2/r144,cross_section,reversed_canonical,0.13429720973164166,0.12964130583253852,0.12964130583253852,-0.004655903899103142,-0.004655903899103142,0.0,tie_plus_default,low,True,7,0.12964130583253852,0.5787115593500822,ok,ok
4-2/r142,cross_section,reversed_canonical,0.19037033650966617,0.1291446488721642,0.1291446488721642,-0.06122568763750197,-0.06122568763750197,0.0,tie_plus_default,low,True,7,0.1291446488721642,0.6095451047959562,ok,ok
4-3/r170,cross_section,reversed_canonical,0.07526143211627083,0.811842926879489,0.811842926879489,0.7365814947632182,0.7365814947632182,0.0,tie_plus_default,low,True,7,0.811842926879489,0.15951311473049956,ok,ok
4-3/r177,cross_section,reversed_canonical,0.169008741995432,0.5648619539913342,0.5648619539913342,0.3958532119959022,0.3958532119959022,0.0,tie_plus_default,low,True,7,0.5648619539913342,0.1261866405400686,ok,ok
4-4/r212,cross_section,canonical,0.07514461315979754,0.6316932803541733,0.6316932803541733,0.5565486671943758,0.5565486671943758,0.0,tie_plus_default,low,True,7,0.6316932803541733,0.11473895062278117,ok,ok
4-4/r215,cross_section,canonical,0.07952759976579413,0.07952759976579413,0.07952759976579413,0.0,0.0,0.0,tie_plus_default,low,True,7,0.07952759976579413,0.07954208151235713,ok,ok
4-5/r245,cross_section,canonical,0.15742509359090212,0.2829738823719338,0.2829738823719338,0.1255487887810317,0.1255487887810317,0.0,tie_plus_default,low,True,7,0.2829738823719338,0.10397682067979903,ok,ok
4-5/r249,cross_section,canonical,0.1588458446048686,0.09999035735821193,0.09999035735821193,-0.05885548724665668,-0.05885548724665668,0.0,tie_plus_default,low,True,7,0.09999035735821193,0.41148785061915827,ok,ok
4-6/r276,cross_section,canonical,0.12239027803438479,0.10059029188621516,0.10059029188621516,-0.021799986148169637,-0.021799986148169637,0.0,tie_plus_default,low,True,7,0.10059029188621516,0.26110608364377325,ok,ok
4-6/r283,cross_section,canonical,0.07434120854157202,0.36958274066057384,0.36958274066057384,0.29524153211900184,0.29524153211900184,0.0,tie_plus_default,low,True,7,0.36958274066057384,0.10433454498965287,ok,ok
4-10/r395,cross_section,reversed_canonical,0.17170244656838204,0.18142453061384348,0.18142453061384348,0.009722084045461432,0.009722084045461432,0.0,tie_plus_default,low,True,7,0.18142453061384348,0.10828972592598365,ok,ok
4-10/r398,cross_section,reversed_canonical,0.19646641121512312,0.17803661542539645,0.17803661542539645,-0.018429795789726672,-0.018429795789726672,0.0,tie_plus_default,low,True,7,0.17803661542539645,0.8298427056663018,ok,ok
5-1/r117,cross_section,canonical,0.14411786429529946,0.11960466474339868,0.11960466474339868,-0.02451319955190079,-0.02451319955190079,0.0,tie_plus_default,low,True,7,0.11960466474339868,0.41176016665531323,ok,ok
5-1/r118,cross_section,canonical,0.19039662995559384,0.1729739249205795,0.1729739249205795,-0.017422705035014335,-0.017422705035014335,0.0,tie_plus_default,low,True,7,0.1729739249205795,0.8200313624297346,ok,ok
5-2/r140,cross_section,reversed_canonical,0.1657818073229979,0.11292708148885382,0.11292708148885382,-0.05285472583414409,-0.05285472583414409,0.0,tie_plus_default,low,True,7,0.11292708148885382,0.5810391424317238,ok,ok
5-2/r144,cross_section,reversed_canonical,0.1277295743717096,0.11468959958908807,0.11468959958908807,-0.013039974782621519,-0.013039974782621519,0.0,tie_plus_default,low,True,7,0.11468959958908807,0.09017442768530501,ok,ok
5-3/r192,cross_section,canonical,0.12340644997156922,0.07008732454730526,0.07008732454730526,-0.05331912542426395,-0.05331912542426395,0.0,tie_plus_default,low,True,7,0.07008732454730526,0.20384785775764866,ok,ok
5-3/r195,cross_section,canonical,0.40144177137384607,0.09384043170521268,0.09384043170521268,-0.3076013396686334,-0.3076013396686334,0.0,tie_plus_default,low,True,7,0.09384043170521268,0.1249909583376835,ok,ok
5-3/r199,cross_section,canonical,0.07046203880024988,0.4480281069091824,0.4480281069091824,0.3775660681089325,0.3775660681089325,0.0,tie_plus_default,low,True,7,0.4480281069091824,0.09524220929250918,ok,ok
5-4/r225,cross_section,reversed_canonical,0.09483268789811189,0.06496609702109511,0.06496609702109511,-0.029866590877016777,-0.029866590877016777,0.0,tie_plus_default,low,False,5,0.06496609702109511,0.09483268789811189,ok,ok
5-4/r227,cross_section,reversed_canonical,0.13681896656498693,0.15093836407579486,0.15093836407579486,0.01411939751080793,0.01411939751080793,0.0,tie_plus_default,low,True,7,0.15093836407579486,0.7795598603697154,ok,ok
5-6/r285,cross_section,reversed_canonical,0.129582304910499,0.15858252256575817,0.15858252256575817,0.029000217655259175,0.029000217655259175,0.0,tie_plus_default,low,True,7,0.15858252256575817,0.3228595349588326,ok,ok
4-1/r110,within_section,reversed_canonical,0.07585227272727273,0.46076492406455294,0.46076492406455294,0.3849126513372802,0.3849126513372802,0.0,tie_plus_default,low,True,7,0.46076492406455294,0.09701803320188826,ok,ok
4-1/r115,within_section,reversed_canonical,0.18060275515310534,0.27955437193645866,0.27955437193645866,0.09895161678335332,0.09895161678335332,0.0,tie_plus_default,low,True,7,0.27955437193645866,0.09021970022015742,ok,ok
4-1/r119,within_section,reversed_canonical,0.09302851036548677,0.08086238815180499,0.08086238815180499,-0.012166122213681782,-0.012166122213681782,0.0,tie_plus_default,low,True,7,0.08086238815180499,0.2563168414817519,ok,ok
4-7/r305,within_section,canonical,0.08914233919586617,0.39214149498139506,0.39214149498139506,0.3029991557855289,0.3029991557855289,0.0,tie_plus_default,low,True,7,0.39214149498139506,0.07136575887994305,ok,ok
4-7/r308,within_section,canonical,0.08065613349295689,0.8111550169384385,0.8111550169384385,0.7304988834454816,0.7304988834454816,0.0,tie_plus_default,low,True,7,0.8111550169384385,0.1733618380774769,ok,ok
4-7/r303,within_section,canonical,0.08147752713329355,0.5567274344579161,0.5567274344579161,0.4752499073246225,0.4752499073246225,0.0,tie_plus_default,low,True,7,0.5567274344579161,0.12221788619286922,ok,ok
4-8/r334,within_section,reversed_canonical,0.18211441542357265,0.1334283523531297,0.1334283523531297,-0.04868606307044296,-0.04868606307044296,0.0,tie_plus_default,low,True,7,0.1334283523531297,0.5984892915381694,ok,ok
4-8/r335,within_section,reversed_canonical,0.15509118306539238,0.17834033268807836,0.17834145922608874,0.023249149622685983,0.02325027616069636,1.1265380103764322e-06,tie_plus_default,low,True,7,0.17834145922608874,0.08224110021430289,ok,ok
