ring_key,chosen_direction,direction_confidence,plus_miou,minus_miou,plus_status,minus_status
4-2/r144,tie_plus_default,low,0.12964130583253852,0.5787115593500822,ok,ok
4-2/r142,tie_plus_default,low,0.1291446488721642,0.6095451047959562,ok,ok
4-3/r170,tie_plus_default,low,0.811842926879489,0.15951311473049956,ok,ok
4-3/r177,tie_plus_default,low,0.5648619539913342,0.1261866405400686,ok,ok
4-4/r212,tie_plus_default,low,0.6316932803541733,0.11473895062278117,ok,ok
4-4/r215,tie_plus_default,low,0.07952759976579413,0.07954208151235713,ok,ok
4-5/r245,tie_plus_default,low,0.2829738823719338,0.10397682067979903,ok,ok
4-5/r249,tie_plus_default,low,0.09999035735821193,0.41148785061915827,ok,ok
4-6/r276,tie_plus_default,low,0.10059029188621516,0.26110608364377325,ok,ok
4-6/r283,tie_plus_default,low,0.36958274066057384,0.10433454498965287,ok,ok
4-10/r395,tie_plus_default,low,0.18142453061384348,0.10828972592598365,ok,ok
4-10/r398,tie_plus_default,low,0.17803661542539645,0.8298427056663018,ok,ok
5-1/r117,tie_plus_default,low,0.11960466474339868,0.41176016665531323,ok,ok
5-1/r118,tie_plus_default,low,0.1729739249205795,0.8200313624297346,ok,ok
5-2/r140,tie_plus_default,low,0.11292708148885382,0.5810391424317238,ok,ok
5-2/r144,tie_plus_default,low,0.11468959958908807,0.09017442768530501,ok,ok
5-3/r192,tie_plus_default,low,0.07008732454730526,0.20384785775764866,ok,ok
5-3/r195,tie_plus_default,low,0.09384043170521268,0.1249909583376835,ok,ok
5-3/r199,tie_plus_default,low,0.4480281069091824,0.09524220929250918,ok,ok
5-4/r225,tie_plus_default,low,0.06496609702109511,0.09483268789811189,ok,ok
5-4/r227,tie_plus_default,low,0.15093836407579486,0.7795598603697154,ok,ok
5-6/r285,tie_plus_default,low,0.15858252256575817,0.3228595349588326,ok,ok
4-1/r110,tie_plus_default,low,0.46076492406455294,0.09701803320188826,ok,ok
4-1/r115,tie_plus_default,low,0.27955437193645866,0.09021970022015742,ok,ok
4-1/r119,tie_plus_default,low,0.08086238815180499,0.2563168414817519,ok,ok
4-7/r305,tie_plus_default,low,0.39214149498139506,0.07136575887994305,ok,ok
4-7/r308,tie_plus_default,low,0.8111550169384385,0.1733618380774769,ok,ok
4-7/r303,tie_plus_default,low,0.5567274344579161,0.12221788619286922,ok,ok
4-8/r334,tie_plus_default,low,0.1334283523531297,0.5984892915381694,ok,ok
4-8/r335,tie_plus_default,low,0.17834145922608874,0.08224110021430289,ok,ok
4-8/r332,tie_plus_default,low,0.598982559952365,0.1316262560679743,ok,ok
4-9/r360,tie_plus_default,low,0.2118338487609162,0.0719472710453284,ok,ok
4-9/r367,tie_plus_default,low,0.09494603114440062,0.4124645781546602,ok,ok
4-9/r363,tie_plus_default,low,0.10767981565475285,0.3713013303790782,ok,ok
5-5/r254,tie_plus_default,low,0.18146306729416695,0.07754951873359318,ok,ok
5-5/r259,tie_plus_default,low,0.11930499571827495,0.5878021182842843,ok,ok
5-5/r251,tie_plus_default,low,0.15095011415783202,0.7854450430866597,ok,ok
5-7/r316,tie_plus_default,low,0.0821510681375819,0.2121321756544955,ok,ok
5-7/r322,tie_plus_default,low,0.06902390438247012,0.19655578788332373,ok,ok
5-7/r317,tie_plus_default,low,0.6418068938076635,0.11941686241862753,ok,ok
