ring_key,split,pattern_type,bottom_baseline_miou,k_only_miou,k_plus_direction_miou,lift_k_only_minus_bottom,lift_direction_minus_bottom,lift_direction_minus_k_only,chosen_direction,direction_confidence,ontology_passed,n_pred_segments,plus_miou,minus_miou,plus_status,minus_status
5-7/r316,within_section,canonical,0.4364634037802292,0.0821510681375819,0.0821510681375819,-0.3543123356426473,-0.3543123356426473,0.0,tie_plus_default,low,True,7,0.0821510681375819,0.2121321756544955,ok,ok
5-3/r195,cross_section,canonical,0.40144177137384607,0.09384043170521268,0.09384043170521268,-0.3076013396686334,-0.3076013396686334,0.0,tie_plus_default,low,True,7,0.09384043170521268,0.1249909583376835,ok,ok
4-9/r363,within_section,canonical,0.1877228767856381,0.10767981565475285,0.10767981565475285,-0.08004306113088525,-0.08004306113088525,0.0,tie_plus_default,low,True,7,0.10767981565475285,0.3713013303790782,ok,ok
4-2/r142,cross_section,reversed_canonical,0.19037033650966617,0.1291446488721642,0.1291446488721642,-0.06122568763750197,-0.06122568763750197,0.0,tie_plus_default,low,True,7,0.1291446488721642,0.6095451047959562,ok,ok
4-5/r249,cross_section,canonical,0.1588458446048686,0.09999035735821193,0.09999035735821193,-0.05885548724665668,-0.05885548724665668,0.0,tie_plus_default,low,True,7,0.09999035735821193,0.41148785061915827,ok,ok
5-3/r192,cross_section,canonical,0.12340644997156922,0.07008732454730526,0.07008732454730526,-0.05331912542426395,-0.05331912542426395,0.0,tie_plus_default,low,True,7,0.07008732454730526,0.20384785775764866,ok,ok
5-2/r140,cross_section,reversed_canonical,0.1657818073229979,0.11292708148885382,0.11292708148885382,-0.05285472583414409,-0.05285472583414409,0.0,tie_plus_default,low,True,7,0.11292708148885382,0.5810391424317238,ok,ok
4-8/r334,within_section,reversed_canonical,0.18211441542357265,0.1334283523531297,0.1334283523531297,-0.04868606307044296,-0.04868606307044296,0.0,tie_plus_default,low,True,7,0.1334283523531297,0.5984892915381694,ok,ok
4-9/r367,within_section,canonical,0.14090946111332045,0.09494603114440062,0.09494603114440062,-0.04596342996891983,-0.04596342996891983,0.0,tie_plus_default,low,True,7,0.09494603114440062,0.4124645781546602,ok,ok
5-5/r259,within_section,reversed_canonical,0.16242711876312227,0.11930499571827495,0.11930499571827495,-0.04312212304484732,-0.04312212304484732,0.0,tie_plus_default,low,True,7,0.11930499571827495,0.5878021182842843,ok,ok
5-4/r225,cross_section,reversed_canonical,0.09483268789811189,0.06496609702109511,0.06496609702109511,-0.029866590877016777,-0.029866590877016777,0.0,tie_plus_default,low,False,5,0.06496609702109511,0.09483268789811189,ok,ok
5-1/r117,cross_section,canonical,0.14411786429529946,0.11960466474339868,0.11960466474339868,-0.02451319955190079,-0.02451319955190079,0.0,tie_plus_default,low,True,7,0.11960466474339868,0.41176016665531323,ok,ok
5-5/r251,within_section,reversed_canonical,0.1745257041808766,0.15095011415783202,0.15095011415783202,-0.023575590023044574,-0.023575590023044574,0.0,tie_plus_default,low,True,7,0.15095011415783202,0.7854450430866597,ok,ok
4-6/r276,cross_section,canonical,0.12239027803438479,0.10059029188621516,0.10059029188621516,-0.021799986148169637,-0.021799986148169637,0.0,tie_plus_default,low,True,7,0.10059029188621516,0.26110608364377325,ok,ok
4-10/r398,cross_section,reversed_canonical,0.19646641121512312,0.17803661542539645,0.17803661542539645,-0.018429795789726672,-0.018429795789726672,0.0,tie_plus_default,low,True,7,0.17803661542539645,0.8298427056663018,ok,ok
5-1/r118,cross_section,canonical,0.19039662995559384,0.1729739249205795,0.1729739249205795,-0.017422705035014335,-0.017422705035014335,0.0,tie_plus_default,low,True,7,0.1729739249205795,0.8200313624297346,ok,ok
5-2/r144,cross_section,reversed_canonical,0.1277295743717096,0.11468959958908807,0.11468959958908807,-0.013039974782621519,-0.013039974782621519,0.0,tie_plus_default,low,True,7,0.11468959958908807,0.09017442768530501,ok,ok
5-7/r322,within_section,canonical,0.0817684212763646,0.06902390438247012,0.06902390438247012,-0.012744516893894484,-0.012744516893894484,0.0,tie_plus_default,low,True,7,0.06902390438247012,0.19655578788332373,ok,ok
4-1/r119,within_section,reversed_canonical,0.09302851036548677,0.08086238815180499,0.08086238815180499,-0.012166122213681782,-0.012166122213681782,0.0,tie_plus_default,low,True,7,0.08086238815180499,0.2563168414817519,ok,ok
4-2/r144,cross_section,reversed_canonical,0.13429720973164166,0.12964130583253852,0.12964130583253852,-0.004655903899103142,-0.004655903899103142,0.0,tie_plus_default,low,True,7,0.12964130583253852,0.5787115593500822,ok,ok
4-4/r215,cross_section,canonical,0.07952759976579413,0.07952759976579413,0.07952759976579413,0.0,0.0,0.0,tie_plus_default,low,True,7,0.07952759976579413,0.07954208151235713,ok,ok
