ring_key,ring_group,baseline_iteration,best_iteration,baseline_branch,best_branch,baseline_proxy_miou,best_proxy_miou,baseline_gt_miou,best_gt_miou,lift_gt_vs_baseline,proxy_lift_vs_baseline,best_iter_proxy_rank_matches_gt_rank,guardrail_failure_delta,n_iterations_executed
4-2/r142,proxy_helped,0,0,minus,minus,0.37542070418398976,0.37542070418398976,0.6095451047959562,0.6095451047959562,0.0,0.0,1,0,4
4-3/r177,high_risk,0,2,plus,plus,0.4121778099307554,0.4159399625085345,0.5648619539913342,0.5648619539913342,0.0,0.0037621525777790654,0,0,4
4-4/r212,high_risk,0,0,minus,minus,0.353157125674014,0.353157125674014,0.11473895062278117,0.11473895062278117,0.0,0.0,1,0,4
4-4/r215,neutral,0,5,minus,minus,0.16675253979504204,0.26385356367994317,0.07397538199290982,0.10947682274788448,0.03550144075497466,0.09710102388490113,1,0,7
4-7/r308,high_risk,0,0,plus,plus,0.4498926882401178,0.4498926882401178,0.8111550169384385,0.8111550169384385,0.0,0.0,1,0,4
5-4/r227,proxy_helped,0,0,minus,minus,0.5355842427529567,0.5355842427529567,0.7795598603697154,0.7795598603697154,0.0,0.0,1,0,4
5-5/r251,proxy_helped,0,0,minus,minus,0.4681863929833663,0.4681863929833663,0.7854450430866597,0.7854450430866597,0.0,0.0,1,0,4
